ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
73,Wenchang3,"19°26'56.63""N","110°44'14.08""E",Natural,mangrove,Bruguiera marina ,0-100,851.2,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
74,Sanya1,"18°14'32.72""N","109°42'54.28""E",Natural,mangrove,Sonneratia apetala ,0-100,219.5,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
75,Sanya2,"18°12'26.30""N","109°36'9.37""E",Natural,mangrove,A. marina,0-100,208.6,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
76,Sanya3,"18°15'8.51""N","109°32'31.26""E",Natural,mangrove,R. stylosa,0-100,191.2,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
77,Dongfang,"19°20'39.33""N","108°42'47.69""E",Natural,mangrove,A. marina,0-100,765.8,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
78,Danzhou,"19°50'57.26""N","109°17'35.66""E",Natural,mangrove,R. stylosa,0-100,302,Xin et al. 2014,"Xin, K., Yan, K., Li, Z., Hu, J., Qiu, M., 2014. Distribution of soil organic carbon in mangrove wetlands of Hainan island and its influencing factors. Acta Pedologica Sinica, 5, 1078-1086. (in Chinese)"
79,Shenzhen Bay6,"22°28'37.58""N","114° 0'56.75""E",Natural,mangrove,Kandelia candel,0-100,215.6,Mao et al. 2011 ,"Mao, Z G., Wang, G X., Liu, J E., & Ren, L J., 2009. Influence of salt marsh vegetation on spatial distribution of soil carbon and nitrogen in Yancheng coastal wetland. Chinese Journal of Applied Ecology, 20(2), 293-297. (in Chinese)"
80,Minjiang,"26° 3'58.26""N","119°31'47.33""E",Natural,salt marsh,Phragmites australis,0-60,137.17,Pan et al. 2015 ,"Pan, T., Zeng, L., Zeng, C., & Wang, W., 2015. Effects of Spartina alterniflora invasion on soil organic carbon in the bare tidal flat wetland of Minjiang River estuary. Science of Soil and Water Conservation, 13(1), 84-90. (in Chinese)"
81,Yellow River delta2,"37°45'57.72""N","119° 9'40.66""E",Natural,salt marsh,Saline Seepweed,0-60,59.83,Mou et al. 2012 ,"Mou, X., Sun, Z., & Liu, X., 2012. Storage and Vertical Distribution Characteristics of Carbon and Nitrogen in Different Suaeda salsa Marsh Soils of the Yellow River Estuary. Chinese Journal of Soil Science, 43(6), 1444-1449. (in Chinese)"
82,Yellow River delta3,"37°46'37.77""N","119° 9'41.27""E",Natural,salt marsh,Saline Seepweed,0-60,65.67,Mou et al. 2012 ,"Mou, X., Sun, Z., & Liu, X., 2012. Storage and Vertical Distribution Characteristics of Carbon and Nitrogen in Different Suaeda salsa Marsh Soils of the Yellow River Estuary. Chinese Journal of Soil Science, 43(6), 1444-1449. (in Chinese)"
83,Jiangsu province5,"32°51'8.73""N","120°44'28.51""E",Natural,salt marsh,Robinia pseucdoacacia,0-40,303.26,Wang et al. 2017a,"Wang, L., He, D., Liu, H., Jiang, H., & Wang, H., 2017a. Distribution of soil organic carbon under different vegetation successions in the coastal wetland of Jiangsu. Journal of Anhui Agricultural University, 44(6): 1-6. (in Chinese)"
