ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
35,Dafeng1,"33° 2'58.94""N","120°50'29.63""E",Natural,salt marsh,Spartina alterniflora,0-30,62.06,Yang et al. 2017 ,"Yang, W., Qiao, Y., Li, N., Zhao, H., Yang, R., & Leng, X., et al., 2017. Seawall construction alters soil carbon and nitrogen dynamics and soil microbial biomass in an invasive spartina alterniflora, salt marsh in eastern China. Applied Soil Ecology, 110, 1-11."
36,Dafeng2,"33° 2'52.13""N","120°51'4.90""E",Reclaimed,salt marsh,Spartina alterniflora,0-30,32.24,Yang et al. 2017 ,"Yang, W., Qiao, Y., Li, N., Zhao, H., Yang, R., & Leng, X., et al., 2017. Seawall construction alters soil carbon and nitrogen dynamics and soil microbial biomass in an invasive spartina alterniflora, salt marsh in eastern China. Applied Soil Ecology, 110, 1-11."
37,Shenzhen Bay1,"22°30'53.96""N","114° 1'27.78""E",Natural,mangrove,Mudflat,0-100,83.2,Lunstrum and Chen 2014 ,"Lunstrum, A., & Chen, L., 2014. Soil carbon stocks and accumulation in young mangrove forests. Soil Biology & Biochemistry, 75(75), 223-232."
38,Shenzhen Bay2,"22°31'5.34""N","114° 1'31.26""E",Natural,mangrove,S. apetala (6 yrs),0-100,119.6,Lunstrum and Chen 2014 ,"Lunstrum, A., & Chen, L., 2014. Soil carbon stocks and accumulation in young mangrove forests. Soil Biology & Biochemistry, 75(75), 223-232."
39,Shenzhen Bay3,"22°31'14.16""N","114° 1'20.54""E",Natural,mangrove,K. obovata (6 yrs),0-100,102.3,Lunstrum and Chen 2014 ,"Lunstrum, A., & Chen, L., 2014. Soil carbon stocks and accumulation in young mangrove forests. Soil Biology & Biochemistry, 75(75), 223-232."
40,Shenzhen Bay4,"22°31'19.53""N","114° 1'6.11""E",Natural,mangrove,S. apetala (20 yrs),0-100,123.6,Lunstrum and Chen 2014 ,"Lunstrum, A., & Chen, L., 2014. Soil carbon stocks and accumulation in young mangrove forests. Soil Biology & Biochemistry, 75(75), 223-232."
41,Shenzhen Bay5,"22°31'26.05""N","114° 0'53.37""E",Natural,mangrove,K. obovata (70 yrs),0-100,170.4,Lunstrum and Chen 2014 ,"Lunstrum, A., & Chen, L., 2014. Soil carbon stocks and accumulation in young mangrove forests. Soil Biology & Biochemistry, 75(75), 223-232."
42,Hangzhou Bay6,"30°19'40.69""N","121°5'33.15""E",Natural,salt marsh,Phragmites australis,0-20,106,Deng et al. 2016 ,"Deng, X., Zhan, Y., Wang, F., Ma, W., Ren, Z., & Chen, X., et al., 2016. Soil organic carbon of an intensively reclaimed region in china: current status and carbon sequestration potential. Science of the Total Environment, 565, 539-546."
43,Hangzhou Bay7,"30°11'30.58""N","121°20'4.11""E",Reclaimed,salt marsh,Vegetable-rice,0-20,190.33,Deng et al. 2016 ,"Deng, X., Zhan, Y., Wang, F., Ma, W., Ren, Z., & Chen, X., et al., 2016. Soil organic carbon of an intensively reclaimed region in china: current status and carbon sequestration potential. Science of the Total Environment, 565, 539-546."
44,Jiangsu province1,"32°20'11.14""N","120°57'47.38""E",Reclaimed,salt marsh,Paddy,0-20,182.8,Chuai et al. 2012 ,"Chuai, X. W., Huang, X. J., Wang, W. J., et al., 2012. Spatial variability of soil organic carbon and related factors in Jiangsu province, China. Pedosphere, 22(3), 404-414."
45,Jiangsu province2,"33°13'5.74""N","120°33'21.99""E",Reclaimed,salt marsh,Dry cropland,0-20,133,Chuai et al. 2012 ,"Chuai, X. W., Huang, X. J., Wang, W. J., et al., 2012. Spatial variability of soil organic carbon and related factors in Jiangsu province, China. Pedosphere, 22(3), 404-414."
