 Sampling ID,Latitude_N,Longitude_E,Habitat,layer_cm,OC_perc,d13C_permille,TN_perc,C/N,FM,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,9-10,2.82,-25.90,0.343,9.60,0.36,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,10-11,2.60,-24.63,0.338,8.99,0.32,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,11-12,2.64,-25.63,0.331,9.32,0.33,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,12-13,2.76,-25.28,0.363,8.86,0.29,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,13-14,3.09,-26.26,0.341,10.56,0.45,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,14-15,2.94,-26.10,0.351,9.79,0.37,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,15-16,3.13,-25.09,0.346,10.53,0.46,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,16-17,2.06,-23.83,0.362,6.64,0.10,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,17-18,2.99,-25.44,0.378,9.22,0.33,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,18-19,3.32,-25.94,0.381,10.15,0.41,,,,,,,,,,,,,,,,,,,,
3,44°47 651,12°24 943,Impact,19-20,3.74,-25.80,0.443,9.84,0.38,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,0-1,2.95,-23.13,0.434,7.93,0.23,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,1-2,2.65,-22.76,0.458,6.74,0.12,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,2-3,2.99,-23.50,0.435,8.01,0.24,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,3-4,2.91,-24.13,0.384,8.83,0.31,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,4-5,3.00,-24.43,0.430,8.14,0.24,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,5-6,3.12,-23.69,0.487,7.48,0.18,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,6-7,2.99,-24.21,0.450,7.75,0.20,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,7-8,2.83,-24.43,0.436,7.57,0.18,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,8-9,2.75,-26.34,0.351,9.13,0.31,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,9-10,2.53,-27.02,0.337,8.76,0.26,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,10-11,2.74,-27.21,0.334,9.58,0.34,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,11-12,2.80,-26.08,0.350,9.34,0.33,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,12-13,2.93,-25.81,0.378,9.05,0.31,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,13-14,3.11,-26.44,0.381,9.52,0.34,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,14-15,3.14,-24.42,0.436,8.39,0.26,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,15-16,3.35,-25.79,0.414,9.43,0.34,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,16-17,3.40,-25.58,0.431,9.21,0.32,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,17-18,3.47,-25.02,0.444,9.12,0.32,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,18-19,3.94,-24.73,0.405,11.33,0.54,,,,,,,,,,,,,,,,,,,,
4,44°47 689,12°24 576,Impact,19-20,2.71,-26.71,0.340,9.28,0.32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
