"","Source","Site_name","Site","Core","Treatment","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","SOM_perc"
"149","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",1.619,0.94,11.64
"150","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",1.523,1.11,5.86
"151","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",1.952,1.05,6.99
"152","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",0.742,1.20666666666667,3.64666666666667
"153","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",1.019,1.14,4.25
"154","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",0.313,1.27,2.76
"155","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",2.033,1.11,6.67
"156","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",0.764,1.2,5.17
"157","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",0.669333333333333,1.21666666666667,3.80666666666667
"158","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.29,1.25,1.98
"159","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",0.708,1.06,5.71
"160","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",0.631,1.19,3.16
"161","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.517,1.28,2.18
"162","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.288666666666667,1.22,2.57666666666667
"163","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.672,1.18,3.6
"164","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.39,1.2,3.55
"165","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",0.22,1.26,4.14
"166","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.42,0.46,"EA",0.627,1.06,3.08
"167","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.46,0.5,"EA",1.758,1.07,6.14
"168","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.5,0.54,"EA",1.094,1.07,8.59
"169","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.54,0.58,"EA",0.502,1.26,3.32
"170","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.58,0.62,"EA",0.148,1.27,1.55
"171","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.62,0.66,"EA",0.104,1.25,0.98
"172","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.66,0.7,"EA",0.1,1.16,0.83
"173","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.7,0.71,"EA",0.118,1.17,0.99
