"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3"
"414","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0125,"EA",NA,84.99,0.12
"415","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.0125,0.025,"EA",NA,83.79,0.12
"416","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.025,0.0375,"EA",NA,85.61,0.112
"417","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.0375,0.05,"EA",NA,84.59,0.096
"418","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.0625,"EA",NA,91.74,0.096
"419","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.0625,0.075,"EA",NA,84.01,0.08
"420","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.075,0.0875,"EA",NA,82.67,0.064
"421","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.0875,0.1,"EA",NA,87.93,0.08
"422","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.1125,"EA",NA,85.81,0.088
"423","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.1125,0.125,"EA",NA,96.6,0.088
"424","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.125,0.1375,"EA",NA,85.81,0.072
"425","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.1375,0.15,"EA",NA,80.77,0.08
"426","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.1625,"EA",NA,82.13,0.088
"427","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.1625,0.175,"EA",NA,79.93,0.104
"428","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.175,0.1875,"EA",NA,81.62,0.104
"429","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.1875,0.2,"EA",NA,75.03,0.12
"430","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.2125,"EA",NA,72.2,0.12
"431","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.2125,0.225,"EA",NA,72.86,0.104
"432","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.225,0.2375,"EA",NA,73.26,0.112
"433","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.2375,0.25,"EA",NA,70.56,0.112
"434","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat-soil",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.25,0.2625,"EA",NA,50.01,0.16
"435","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.2625,0.275,"EA",NA,24.12,0.376
"436","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.275,0.2875,"EA",NA,37.06,0.192
"437","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.2875,0.3,"EA",NA,33.26,0.384
"438","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.3,0.3125,"EA",NA,20.31,0.504
"439","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.3125,0.325,"EA",NA,12.97,0.32
"440","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.325,0.3375,"EA",NA,10.54,0.48
"441","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","peat + sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.3375,0.35,"EA",NA,8.12,0.656
"442","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.35,0.3625,"EA",NA,7.1,0.672
"443","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.3625,0.375,"EA",NA,8.55,0.744
"444","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.375,0.3875,"EA",NA,6.98,0.816
"445","Kohfeld et al 2022","KEH CRF_3-1","Cypress River Flats","CRF_3-1","Salt marsh","sand",49.2789,-125.911,"direct from dataset","1","Canada"," British Columbia",2016,0.3875,0.4,"EA",NA,9.44,0.632
"446","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","soil + peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0,0.013,"EA",NA,88.2,0.108
"447","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","soil + peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.013,0.0261,"EA",NA,88.23,0.092
"448","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","soil + peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0261,0.0391,"EA",NA,74.58,0.115
"449","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","soil + peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0391,0.0522,"EA",NA,75.36,0.138
"450","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0522,0.0652,"EA",NA,76.13,0.108
"451","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0652,0.0783,"EA",NA,76.72,0.069
"452","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","debris",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0783,0.0913,"EA",NA,77.31,0.054
"453","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.0913,0.1043,"EA",NA,77.91,0.108
"454","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1043,0.1174,"EA",NA,81.91,0.108
"455","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1174,0.1304,"EA",NA,113.43,0.131
"456","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1304,0.1435,"EA",NA,76.22,0.115
"457","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1435,0.1565,"EA",NA,64.58,0.1
"458","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1565,0.1696,"EA",NA,52.93,0.146
"459","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1696,0.1826,"EA",NA,57,0.154
"460","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1826,0.1957,"EA",NA,46.09,0.169
"461","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.1957,0.2087,"EA",NA,40.21,0.208
"462","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2087,0.2217,"EA",NA,37.52,0.231
"463","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2217,0.2348,"EA",NA,28.17,0.292
"464","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2348,0.2478,"EA",NA,28.02,0.362
"465","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat + sand",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2478,0.2609,"EA",NA,17.55,0.369
"466","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","peat + sand",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2609,0.2739,"EA",NA,12.81,0.446
"467","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","sand",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.2739,0.287,"EA",NA,7.65,0.7
"468","Kohfeld et al 2022","KEH CRF_3-2","Cypress River Flats","CRF_3-2","Salt marsh","sand",49.27882,-125.91087,"direct from dataset","1","Canada"," British Columbia",2016,0.287,0.3001,"EA",NA,9.21,0.862
"469","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0191,"EA",NA,86.65,0.052
"470","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.0191,0.0383,"EA",NA,80.52,0.058
"471","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.0383,0.0574,"EA",NA,76.58,0.058
"472","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.0574,0.0765,"EA",NA,70.3,0.052
"473","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.0765,0.0957,"EA",NA,66.46,0.058
"474","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","soil",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.0957,0.1148,"EA",NA,28.53,0.147
"475","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.1148,0.1339,"EA",NA,26.76,0.147
"476","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.1339,0.153,"EA",NA,26.2,0.147
"477","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.153,0.1722,"EA",NA,32.24,0.131
"478","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.1722,0.1913,"EA",NA,29.51,0.157
"479","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.1913,0.2104,"EA",NA,32.13,0.147
"480","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.2104,0.2296,"EA",NA,10.32,0.188
"481","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","peat+sand+clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.2296,0.2487,"EA",NA,28.31,0.236
"482","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.2487,0.2678,"EA",NA,15.77,0.277
"483","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.2678,0.287,"EA",NA,6.27,0.455
"484","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.287,0.3061,"EA",NA,9.55,0.435
"485","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.3061,0.3252,"EA",NA,6.56,0.471
"486","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.3252,0.3443,"EA",NA,6.56,0.414
"487","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Sand+Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.3443,0.3635,"EA",NA,4.58,0.471
"488","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.3635,0.3826,"EA",NA,4.58,0.586
"489","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.3826,0.4017,"EA",NA,6.39,0.398
"490","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.4017,0.4209,"EA",NA,6.39,0.435
"491","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.4209,0.44,"EA",NA,7.21,0.408
"492","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.44,0.4591,"EA",NA,7.21,0.351
"493","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.4591,0.4783,"EA",NA,7.48,0.366
"494","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.4783,0.4974,"EA",NA,7.48,0.382
"495","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.4974,0.5165,"EA",NA,6.89,0.414
"496","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.5165,0.5357,"EA",NA,6.89,0.335
"497","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.5357,0.5548,"EA",NA,6.74,0.429
"498","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.5548,0.5739,"EA",NA,6.74,0.361
"499","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.5739,0.593,"EA",NA,6.5,0.393
"500","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.593,0.6122,"EA",NA,6.5,0.398
"501","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.6122,0.6313,"EA",NA,6.61,0.382
"502","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.6313,0.6504,"EA",NA,6.61,0.398
"503","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.6504,0.6696,"EA",NA,6.34,0.414
"504","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.6696,0.6887,"EA",NA,6.34,0.382
"505","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.6887,0.7078,"EA",NA,6.14,0.382
"506","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.7078,0.727,"EA",NA,6.14,0.387
"507","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.727,0.7461,"EA",NA,6.96,0.419
"508","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.7461,0.7652,"EA",NA,6.96,0.429
"509","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.7652,0.7843,"EA",NA,6.34,0.492
"510","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.7843,0.8035,"EA",NA,6.34,0.476
"511","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.8035,0.8226,"EA",NA,7.23,0.492
"512","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.8226,0.8417,"EA",NA,7.23,0.476
"513","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.8417,0.8609,"EA",NA,7.18,0.461
"514","Kohfeld et al 2022","KEH GBK_1-1","Grice Bay- Kootowis Creek","GBK_1-1","Salt marsh","Clay",49.14139,-125.73238,"direct from dataset","1","Canada"," British Columbia",2016,0.8609,0.8801,"EA",NA,7.18,0.461
"515","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0167,"EA",24.23,59.1,0.102
"516","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.0167,0.0333,"EA",NA,56.68,0.102
"517","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.0333,0.05,"EA",22.73,52.94,0.096
"518","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.0667,"EA",NA,48.45,0.102
"519","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.0667,0.0833,"EA",NA,47.22,0.102
"520","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.0833,0.1,"EA",17.35,43.22,0.114
"521","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.1167,"EA",NA,49.14,0.096
"522","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.1167,0.1333,"EA",17.99,36.66,0.12
"523","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","soil+peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.1333,0.15,"EA",NA,28.51,0.174
"524","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.1667,"EA",3.81,16.47,0.246
"525","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.1667,0.1833,"EA",NA,15.63,0.275
"526","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.1833,0.2,"EA",NA,15.42,0.299
"527","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.2167,"EA",6.29,16.48,0.275
"528","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.2167,0.2333,"EA",NA,15.4,0.281
"529","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat+sand",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.2333,0.25,"EA",NA,14.51,0.329
"530","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat+sand",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.25,0.2667,"EA",NA,14.27,0.323
"531","Kohfeld et al 2022","KEH GBK_1-2","Grice Bay- Kootowis Creek","GBK_1-2","Salt marsh","peat+sand",49.08756,-125.73261,"direct from dataset","1","Canada"," British Columbia",2016,0.2667,0.2833,"EA",3.83,13.51,0.353
