"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"94","Ward et al 2021","MAW Elkhorn Slough SM 94","Elkhorn Slough","Elkhorn Slough SM 94","Salt Marsh",36.81,-121.136,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.136,11.505,1.194,"https://doi.org/10.5194/bg-18-4717-2021"
"95","Ward et al 2021","MAW Elkhorn Slough SM 95","Elkhorn Slough","Elkhorn Slough SM 95","Salt Marsh",36.81,-121.137,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.523,12.794,1.224,"https://doi.org/10.5194/bg-18-4717-2021"
"96","Ward et al 2021","MAW Elkhorn Slough SM 96","Elkhorn Slough","Elkhorn Slough SM 96","Salt Marsh",36.81,-121.138,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.909,10.742,1.213,"https://doi.org/10.5194/bg-18-4717-2021"
"97","Ward et al 2021","MAW Elkhorn Slough SM 97","Elkhorn Slough","Elkhorn Slough SM 97","Salt Marsh",36.81,-121.139,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.91,10.744,1.046,"https://doi.org/10.5194/bg-18-4717-2021"
"98","Ward et al 2021","MAW Newport Bay SM 1","Newport Bay","Newport Bay SM 1","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",9.132,30.5357,0.2822,"https://doi.org/10.5194/bg-18-4717-2021"
"99","Ward et al 2021","MAW Newport Bay SM 2","Newport Bay","Newport Bay SM 2","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",2.937,10.8364,0.854,"https://doi.org/10.5194/bg-18-4717-2021"
"100","Ward et al 2021","MAW Newport Bay SM 3","Newport Bay","Newport Bay SM 3","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",2.228,8.4175,0.4929,"https://doi.org/10.5194/bg-18-4717-2021"
"101","Ward et al 2021","MAW Newport Bay SM 4","Newport Bay","Newport Bay SM 4","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",1.269,5.0334,0.9025,"https://doi.org/10.5194/bg-18-4717-2021"
"102","Ward et al 2021","MAW Newport Bay SM 5","Newport Bay","Newport Bay SM 5","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",0.922,3.7597,1.3789,"https://doi.org/10.5194/bg-18-4717-2021"
"103","Ward et al 2021","MAW Newport Bay SM 6","Newport Bay","Newport Bay SM 6","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",0.517,2.2177,1.6194,"https://doi.org/10.5194/bg-18-4717-2021"
"104","Ward et al 2021","MAW Newport Bay SM 7","Newport Bay","Newport Bay SM 7","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",0.405,1.7757,1.7041,"https://doi.org/10.5194/bg-18-4717-2021"
"105","Ward et al 2021","MAW Newport Bay SM 8","Newport Bay","Newport Bay SM 8","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",0.309,1.3856,1.8001,"https://doi.org/10.5194/bg-18-4717-2021"
"106","Ward et al 2021","MAW Newport Bay SM 9","Newport Bay","Newport Bay SM 9","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",0.152,0.7266,1.6676,"https://doi.org/10.5194/bg-18-4717-2021"
"107","Ward et al 2021","MAW Newport Bay SM 10","Newport Bay","Newport Bay SM 10","Salt Marsh",33.62597,-117.88922,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",0.076,0.3858,1.7516,"https://doi.org/10.5194/bg-18-4717-2021"
"108","Ward et al 2021","MAW Newport Bay SM 11","Newport Bay","Newport Bay SM 11","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.271,21.662,0.5044,"https://doi.org/10.5194/bg-18-4717-2021"
"109","Ward et al 2021","MAW Newport Bay SM 12","Newport Bay","Newport Bay SM 12","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.894,14.02,0.652,"https://doi.org/10.5194/bg-18-4717-2021"
"110","Ward et al 2021","MAW Newport Bay SM 13","Newport Bay","Newport Bay SM 13","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.295,18.563,0.3954,"https://doi.org/10.5194/bg-18-4717-2021"
"111","Ward et al 2021","MAW Newport Bay SM 14","Newport Bay","Newport Bay SM 14","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",1.788,6.886,0.7618,"https://doi.org/10.5194/bg-18-4717-2021"
"112","Ward et al 2021","MAW Newport Bay SM 15","Newport Bay","Newport Bay SM 15","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",0.403,1.767,1.305,"https://doi.org/10.5194/bg-18-4717-2021"
"113","Ward et al 2021","MAW Newport Bay SM 16","Newport Bay","Newport Bay SM 16","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",0.287,1.296,1.425,"https://doi.org/10.5194/bg-18-4717-2021"
"114","Ward et al 2021","MAW Newport Bay SM 17","Newport Bay","Newport Bay SM 17","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",0.32,1.433,1.505,"https://doi.org/10.5194/bg-18-4717-2021"
"115","Ward et al 2021","MAW Newport Bay SM 18","Newport Bay","Newport Bay SM 18","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",0.214,0.989,1.63,"https://doi.org/10.5194/bg-18-4717-2021"
"116","Ward et al 2021","MAW Newport Bay SM 19","Newport Bay","Newport Bay SM 19","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",0.058,0.3,1.853,"https://doi.org/10.5194/bg-18-4717-2021"
"117","Ward et al 2021","MAW Newport Bay SM 20","Newport Bay","Newport Bay SM 20","Salt Marsh",33.6254,-117.88911,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",0.111,0.545,1.7811,"https://doi.org/10.5194/bg-18-4717-2021"
"118","Ward et al 2021","MAW Newport Bay SM 21","Newport Bay","Newport Bay SM 21","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",11.297,37.085,0.288,"https://doi.org/10.5194/bg-18-4717-2021"
"119","Ward et al 2021","MAW Newport Bay SM 22","Newport Bay","Newport Bay SM 22","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.39,18.866,0.495,"https://doi.org/10.5194/bg-18-4717-2021"
"120","Ward et al 2021","MAW Newport Bay SM 23","Newport Bay","Newport Bay SM 23","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",4.979,17.548,0.479,"https://doi.org/10.5194/bg-18-4717-2021"
"121","Ward et al 2021","MAW Newport Bay SM 24","Newport Bay","Newport Bay SM 24","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",5.9,20.49,0.399,"https://doi.org/10.5194/bg-18-4717-2021"
"122","Ward et al 2021","MAW Newport Bay SM 25","Newport Bay","Newport Bay SM 25","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",8.29,27.952,0.418,"https://doi.org/10.5194/bg-18-4717-2021"
"123","Ward et al 2021","MAW Newport Bay SM 26","Newport Bay","Newport Bay SM 26","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",1.902,7.285,0.424,"https://doi.org/10.5194/bg-18-4717-2021"
"124","Ward et al 2021","MAW Newport Bay SM 27","Newport Bay","Newport Bay SM 27","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.376,12.304,0.507,"https://doi.org/10.5194/bg-18-4717-2021"
"125","Ward et al 2021","MAW Newport Bay SM 28","Newport Bay","Newport Bay SM 28","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.874,10.622,0.687,"https://doi.org/10.5194/bg-18-4717-2021"
"126","Ward et al 2021","MAW Newport Bay SM 29","Newport Bay","Newport Bay SM 29","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.264,8.544,0.842,"https://doi.org/10.5194/bg-18-4717-2021"
"127","Ward et al 2021","MAW Newport Bay SM 30","Newport Bay","Newport Bay SM 30","Salt Marsh",33.6249,-117.88881,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",1.76,6.786,0.921,"https://doi.org/10.5194/bg-18-4717-2021"
"128","Ward et al 2021","MAW Newport Bay SM 31","Newport Bay","Newport Bay SM 31","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",12.683,41.217,0.311,"https://doi.org/10.5194/bg-18-4717-2021"
"129","Ward et al 2021","MAW Newport Bay SM 32","Newport Bay","Newport Bay SM 32","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",6.829,23.418,0.343,"https://doi.org/10.5194/bg-18-4717-2021"
"130","Ward et al 2021","MAW Newport Bay SM 33","Newport Bay","Newport Bay SM 33","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",6.882,23.583,0.306,"https://doi.org/10.5194/bg-18-4717-2021"
"131","Ward et al 2021","MAW Newport Bay SM 34","Newport Bay","Newport Bay SM 34","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",10.102,33.484,0.236,"https://doi.org/10.5194/bg-18-4717-2021"
"132","Ward et al 2021","MAW Newport Bay SM 35","Newport Bay","Newport Bay SM 35","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.907,17.316,0.47,"https://doi.org/10.5194/bg-18-4717-2021"
"133","Ward et al 2021","MAW Newport Bay SM 36","Newport Bay","Newport Bay SM 36","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.847,10.531,0.551,"https://doi.org/10.5194/bg-18-4717-2021"
"134","Ward et al 2021","MAW Newport Bay SM 37","Newport Bay","Newport Bay SM 37","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",6.186,21.396,0.383,"https://doi.org/10.5194/bg-18-4717-2021"
"135","Ward et al 2021","MAW Newport Bay SM 38","Newport Bay","Newport Bay SM 38","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",4.735,16.76,0.429,"https://doi.org/10.5194/bg-18-4717-2021"
"136","Ward et al 2021","MAW Newport Bay SM 39","Newport Bay","Newport Bay SM 39","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.877,13.963,0.593,"https://doi.org/10.5194/bg-18-4717-2021"
"137","Ward et al 2021","MAW Newport Bay SM 40","Newport Bay","Newport Bay SM 40","Salt Marsh",33.62853,-117.8884,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.132,11.491,0.552,"https://doi.org/10.5194/bg-18-4717-2021"
"138","Ward et al 2021","MAW Tomales Bay SM 1","Tomales Bay","Tomales Bay SM 1","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",11.572,37.91,0.417,"https://doi.org/10.5194/bg-18-4717-2021"
"139","Ward et al 2021","MAW Tomales Bay SM 2","Tomales Bay","Tomales Bay SM 2","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",14.035,45.21,0.387,"https://doi.org/10.5194/bg-18-4717-2021"
"140","Ward et al 2021","MAW Tomales Bay SM 3","Tomales Bay","Tomales Bay SM 3","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",1.978,7.55,0.97,"https://doi.org/10.5194/bg-18-4717-2021"
"141","Ward et al 2021","MAW Tomales Bay SM 4","Tomales Bay","Tomales Bay SM 4","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.326,12.14,0.819,"https://doi.org/10.5194/bg-18-4717-2021"
"142","Ward et al 2021","MAW Tomales Bay SM 5","Tomales Bay","Tomales Bay SM 5","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",5.048,17.77,0.753,"https://doi.org/10.5194/bg-18-4717-2021"
"143","Ward et al 2021","MAW Tomales Bay SM 6","Tomales Bay","Tomales Bay SM 6","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.88,13.97,0.972,"https://doi.org/10.5194/bg-18-4717-2021"
"144","Ward et al 2021","MAW Tomales Bay SM 7","Tomales Bay","Tomales Bay SM 7","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.275,11.97,0.943,"https://doi.org/10.5194/bg-18-4717-2021"
"145","Ward et al 2021","MAW Tomales Bay SM 8","Tomales Bay","Tomales Bay SM 8","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.988,11.01,1.145,"https://doi.org/10.5194/bg-18-4717-2021"
"146","Ward et al 2021","MAW Tomales Bay SM 9","Tomales Bay","Tomales Bay SM 9","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.225,8.41,0.946,"https://doi.org/10.5194/bg-18-4717-2021"
"147","Ward et al 2021","MAW Tomales Bay SM 10","Tomales Bay","Tomales Bay SM 10","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",12.926,41.94,0.307,"https://doi.org/10.5194/bg-18-4717-2021"
"148","Ward et al 2021","MAW Tomales Bay SM 11","Tomales Bay","Tomales Bay SM 11","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",10.391,34.36,0.341,"https://doi.org/10.5194/bg-18-4717-2021"
"149","Ward et al 2021","MAW Tomales Bay SM 12","Tomales Bay","Tomales Bay SM 12","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",12.141,39.61,0.314,"https://doi.org/10.5194/bg-18-4717-2021"
"150","Ward et al 2021","MAW Tomales Bay SM 13","Tomales Bay","Tomales Bay SM 13","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",2.881,10.65,0.687,"https://doi.org/10.5194/bg-18-4717-2021"
"151","Ward et al 2021","MAW Tomales Bay SM 14","Tomales Bay","Tomales Bay SM 14","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",5.718,19.91,0.488,"https://doi.org/10.5194/bg-18-4717-2021"
"152","Ward et al 2021","MAW Tomales Bay SM 15","Tomales Bay","Tomales Bay SM 15","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",7.325,24.97,0.537,"https://doi.org/10.5194/bg-18-4717-2021"
"153","Ward et al 2021","MAW Tomales Bay SM 16","Tomales Bay","Tomales Bay SM 16","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.179,11.65,0.811,"https://doi.org/10.5194/bg-18-4717-2021"
"154","Ward et al 2021","MAW Tomales Bay SM 17","Tomales Bay","Tomales Bay SM 17","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.48,9.29,1,"https://doi.org/10.5194/bg-18-4717-2021"
"155","Ward et al 2021","MAW Tomales Bay SM 18","Tomales Bay","Tomales Bay SM 18","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",4.111,14.73,0.304,"https://doi.org/10.5194/bg-18-4717-2021"
"156","Ward et al 2021","MAW Tomales Bay SM 19","Tomales Bay","Tomales Bay SM 19","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.99,17.58,0.397,"https://doi.org/10.5194/bg-18-4717-2021"
"157","Ward et al 2021","MAW Tomales Bay SM 20","Tomales Bay","Tomales Bay SM 20","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",4.387,15.63,0.554,"https://doi.org/10.5194/bg-18-4717-2021"
"158","Ward et al 2021","MAW Tomales Bay SM 21","Tomales Bay","Tomales Bay SM 21","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.052,14.54,0.475,"https://doi.org/10.5194/bg-18-4717-2021"
"159","Ward et al 2021","MAW Tomales Bay SM 22","Tomales Bay","Tomales Bay SM 22","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.575,12.97,0.637,"https://doi.org/10.5194/bg-18-4717-2021"
"160","Ward et al 2021","MAW Tomales Bay SM 23","Tomales Bay","Tomales Bay SM 23","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.498,9.35,0.707,"https://doi.org/10.5194/bg-18-4717-2021"
"161","Ward et al 2021","MAW Tomales Bay SM 24","Tomales Bay","Tomales Bay SM 24","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",1.92,7.35,0.893,"https://doi.org/10.5194/bg-18-4717-2021"
"162","Ward et al 2021","MAW Tomales Bay SM 25","Tomales Bay","Tomales Bay SM 25","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.025,11.13,1.017,"https://doi.org/10.5194/bg-18-4717-2021"
"163","Ward et al 2021","MAW Tomales Bay SM 26","Tomales Bay","Tomales Bay SM 26","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.03,20.90027473,0.222,"https://doi.org/10.5194/bg-18-4717-2021"
"164","Ward et al 2021","MAW Tomales Bay SM 27","Tomales Bay","Tomales Bay SM 27","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.927,17.37919155,0.218,"https://doi.org/10.5194/bg-18-4717-2021"
"165","Ward et al 2021","MAW Tomales Bay SM 28","Tomales Bay","Tomales Bay SM 28","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.294,18.55764103,0.353,"https://doi.org/10.5194/bg-18-4717-2021"
"166","Ward et al 2021","MAW Tomales Bay SM 29","Tomales Bay","Tomales Bay SM 29","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.536,12.83565207,0.262,"https://doi.org/10.5194/bg-18-4717-2021"
"167","Ward et al 2021","MAW Tomales Bay SM 30","Tomales Bay","Tomales Bay SM 30","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.205,15.03896473,0.342,"https://doi.org/10.5194/bg-18-4717-2021"
"168","Ward et al 2021","MAW Tomales Bay SM 31","Tomales Bay","Tomales Bay SM 31","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",4.353,15.5206065,0.473,"https://doi.org/10.5194/bg-18-4717-2021"
"169","Ward et al 2021","MAW Tomales Bay SM 32","Tomales Bay","Tomales Bay SM 32","Salt Marsh",38.211,-122.927,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.316,12.10611931,0.461,"https://doi.org/10.5194/bg-18-4717-2021"
"170","Ward et al 2021","MAW Tomales Bay SM 33","Tomales Bay","Tomales Bay SM 33","Salt Marsh",38.211,-122.928,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.271,11.95527932,0.584,"https://doi.org/10.5194/bg-18-4717-2021"
"171","Ward et al 2021","MAW Tomales Bay SM 34","Tomales Bay","Tomales Bay SM 34","Salt Marsh",38.211,-122.929,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.213,11.76019705,0.45,"https://doi.org/10.5194/bg-18-4717-2021"
"172","Ward et al 2021","MAW Tomales Bay SM 35","Tomales Bay","Tomales Bay SM 35","Salt Marsh",38.211,-122.93,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.221,11.78945822,0.517,"https://doi.org/10.5194/bg-18-4717-2021"
"173","Ward et al 2021","MAW Tomales Bay SM 36","Tomales Bay","Tomales Bay SM 36","Salt Marsh",38.211,-122.934,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",10.093,33.45857771,0.244,"https://doi.org/10.5194/bg-18-4717-2021"
"174","Ward et al 2021","MAW Tomales Bay SM 37","Tomales Bay","Tomales Bay SM 37","Salt Marsh",38.211,-122.935,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.486,19.1713414,0.42,"https://doi.org/10.5194/bg-18-4717-2021"
"175","Ward et al 2021","MAW Tomales Bay SM 38","Tomales Bay","Tomales Bay SM 38","Salt Marsh",38.211,-122.936,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",6.16,21.31391201,0.488,"https://doi.org/10.5194/bg-18-4717-2021"
"176","Ward et al 2021","MAW Tomales Bay SM 39","Tomales Bay","Tomales Bay SM 39","Salt Marsh",38.211,-122.937,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",6.178,21.37092757,0.346,"https://doi.org/10.5194/bg-18-4717-2021"
"177","Ward et al 2021","MAW Tomales Bay SM 40","Tomales Bay","Tomales Bay SM 40","Salt Marsh",38.211,-122.938,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",6.253,21.6074038,0.389,"https://doi.org/10.5194/bg-18-4717-2021"
"178","Ward et al 2021","MAW Tomales Bay SM 41","Tomales Bay","Tomales Bay SM 41","Salt Marsh",38.211,-122.939,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",7.016,24.00116088,0.304,"https://doi.org/10.5194/bg-18-4717-2021"
"179","Ward et al 2021","MAW Tomales Bay SM 42","Tomales Bay","Tomales Bay SM 42","Salt Marsh",38.211,-122.94,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",5.107,17.95771309,0.488,"https://doi.org/10.5194/bg-18-4717-2021"
"180","Ward et al 2021","MAW Tomales Bay SM 43","Tomales Bay","Tomales Bay SM 43","Salt Marsh",38.211,-122.941,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",5.501,19.22032413,0.343,"https://doi.org/10.5194/bg-18-4717-2021"
"181","Ward et al 2021","MAW Tomales Bay SM 44","Tomales Bay","Tomales Bay SM 44","Salt Marsh",38.211,-122.942,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",5.084,17.88602595,0.485,"https://doi.org/10.5194/bg-18-4717-2021"
"182","Ward et al 2021","MAW Tomales Bay SM 45","Tomales Bay","Tomales Bay SM 45","Salt Marsh",38.211,-122.943,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.244,11.86679588,0.486,"https://doi.org/10.5194/bg-18-4717-2021"
"183","Ward et al 2021","MAW Tomales Bay SM 46","Tomales Bay","Tomales Bay SM 46","Salt Marsh",38.211,-122.946,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.673,22.92823817,0.75331,"https://doi.org/10.5194/bg-18-4717-2021"
"184","Ward et al 2021","MAW Tomales Bay SM 47","Tomales Bay","Tomales Bay SM 47","Salt Marsh",38.211,-122.947,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.972,17.52487472,0.89432,"https://doi.org/10.5194/bg-18-4717-2021"
"185","Ward et al 2021","MAW Tomales Bay SM 48","Tomales Bay","Tomales Bay SM 48","Salt Marsh",38.211,-122.948,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.696,19.84158105,0.83205,"https://doi.org/10.5194/bg-18-4717-2021"
"186","Ward et al 2021","MAW Tomales Bay SM 49","Tomales Bay","Tomales Bay SM 49","Salt Marsh",38.211,-122.949,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.962,17.49220644,0.82391,"https://doi.org/10.5194/bg-18-4717-2021"
"187","Ward et al 2021","MAW Tomales Bay SM 50","Tomales Bay","Tomales Bay SM 50","Salt Marsh",38.211,-122.95,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",5.472,19.12767863,0.83861,"https://doi.org/10.5194/bg-18-4717-2021"
"188","Ward et al 2021","MAW Tomales Bay SM 51","Tomales Bay","Tomales Bay SM 51","Salt Marsh",38.211,-122.951,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",4.191,14.9928264,0.89791,"https://doi.org/10.5194/bg-18-4717-2021"
"189","Ward et al 2021","MAW Tomales Bay SM 52","Tomales Bay","Tomales Bay SM 52","Salt Marsh",38.211,-122.952,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",4.309,15.3791079,0.99717,"https://doi.org/10.5194/bg-18-4717-2021"
"190","Ward et al 2021","MAW Tomales Bay SM 53","Tomales Bay","Tomales Bay SM 53","Salt Marsh",38.211,-122.953,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",5.077,17.86250375,0.85591,"https://doi.org/10.5194/bg-18-4717-2021"
"191","Ward et al 2021","MAW Tomales Bay SM 54","Tomales Bay","Tomales Bay SM 54","Salt Marsh",38.211,-122.954,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.698,10.02611325,1.17869,"https://doi.org/10.5194/bg-18-4717-2021"
