"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"21","Ward et al 2021","MAW Elkhorn Slough SM 21","Elkhorn Slough","Elkhorn Slough SM 21","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",9.021,30.2,0.2368,"https://doi.org/10.5194/bg-18-4717-2021"
"22","Ward et al 2021","MAW Elkhorn Slough SM 22","Elkhorn Slough","Elkhorn Slough SM 22","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",9.413,31.39,0.2824,"https://doi.org/10.5194/bg-18-4717-2021"
"23","Ward et al 2021","MAW Elkhorn Slough SM 23","Elkhorn Slough","Elkhorn Slough SM 23","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",6.449,22.22,0.3087,"https://doi.org/10.5194/bg-18-4717-2021"
"24","Ward et al 2021","MAW Elkhorn Slough SM 24","Elkhorn Slough","Elkhorn Slough SM 24","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",6.574,22.62,0.2879,"https://doi.org/10.5194/bg-18-4717-2021"
"25","Ward et al 2021","MAW Elkhorn Slough SM 25","Elkhorn Slough","Elkhorn Slough SM 25","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",6.168,21.34,0.3944,"https://doi.org/10.5194/bg-18-4717-2021"
"26","Ward et al 2021","MAW Elkhorn Slough SM 26","Elkhorn Slough","Elkhorn Slough SM 26","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",6.206,21.46,0.309,"https://doi.org/10.5194/bg-18-4717-2021"
"27","Ward et al 2021","MAW Elkhorn Slough SM 27","Elkhorn Slough","Elkhorn Slough SM 27","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",9.604,31.97,0.2546,"https://doi.org/10.5194/bg-18-4717-2021"
"28","Ward et al 2021","MAW Elkhorn Slough SM 28","Elkhorn Slough","Elkhorn Slough SM 28","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",9.234,30.85,0.2243,"https://doi.org/10.5194/bg-18-4717-2021"
"29","Ward et al 2021","MAW Elkhorn Slough SM 29","Elkhorn Slough","Elkhorn Slough SM 29","Salt Marsh",36.81487,-121.76308,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",8.995,30.12,0.2499,"https://doi.org/10.5194/bg-18-4717-2021"
"30","Ward et al 2021","MAW Elkhorn Slough SM 30","Elkhorn Slough","Elkhorn Slough SM 30","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.207,21.46,0.264,"https://doi.org/10.5194/bg-18-4717-2021"
"31","Ward et al 2021","MAW Elkhorn Slough SM 31","Elkhorn Slough","Elkhorn Slough SM 31","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",5.94,20.62,0.368,"https://doi.org/10.5194/bg-18-4717-2021"
"32","Ward et al 2021","MAW Elkhorn Slough SM 32","Elkhorn Slough","Elkhorn Slough SM 32","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.206,18.28,0.393,"https://doi.org/10.5194/bg-18-4717-2021"
"33","Ward et al 2021","MAW Elkhorn Slough SM 33","Elkhorn Slough","Elkhorn Slough SM 33","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.6,13.05,0.522,"https://doi.org/10.5194/bg-18-4717-2021"
"34","Ward et al 2021","MAW Elkhorn Slough SM 34","Elkhorn Slough","Elkhorn Slough SM 34","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.826,13.8,0.456,"https://doi.org/10.5194/bg-18-4717-2021"
"35","Ward et al 2021","MAW Elkhorn Slough SM 35","Elkhorn Slough","Elkhorn Slough SM 35","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.606,13.07,0.608,"https://doi.org/10.5194/bg-18-4717-2021"
"36","Ward et al 2021","MAW Elkhorn Slough SM 36","Elkhorn Slough","Elkhorn Slough SM 36","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",4.593,16.3,0.453,"https://doi.org/10.5194/bg-18-4717-2021"
