"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"17","Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",4.01,0.79
"18","Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",1.68,0.87
"19","Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",1.12,1.12
"20","Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",1.34,2.32
"21","Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",10.26,0.29
"22","Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",6.27,0.49
"23","Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.75,0.82
"24","Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",2.56,0.87
"25","Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",8.69,0.35
"26","Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",7.53,0.5
"27","Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.82,0.82
"28","Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",2.25,1.02
"29","Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",8.48,0.36
"30","Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",6.22,0.42
"31","Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",3.04,0.6
"32","Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",4.79,0.7
"33","Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",11.95,0.26
"34","Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",9.38,0.25
"35","Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",6.49,0.67
"36","Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.66,1.34
"37","Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",15.33,0.23
"38","Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",4.84,0.53
"39","Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",13.99,0.61
"40","Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",3.94,0.79
"41","Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",6.43,0.52
"42","Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",3.09,0.64
"43","Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",3.86,0.96
"44","Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.47,1.27
"45","Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",3.82,0.52
"46","Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",2.41,0.88
"47","Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.48,1.12
"48","Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.7,1.32
"49","Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",6.96,0.35
"50","Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",3.38,0.57
"51","Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.51,1.02
"52","Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.58,1.53
"53","Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",3.92,0.5
"54","Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",3.02,0.7
"55","Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",0.84,1.29
"56","Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.15,1.94
"57","Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",3.56,0.79
"58","Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",2.24,0.87
"59","Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.13,1.12
"60","Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.22,2.32
