"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",15.56,0.52
"2","Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",10.9,0.64
"3","Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",8.34,0.96
"4","Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",2.6,1.27
"5","Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",14.5,0.52
"6","Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",4.67,0.88
"7","Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",11.2,1.12
"8","Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",7.48,1.32
"9","Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",6.55,0.35
"10","Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",3.67,0.57
"11","Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",2.37,1.02
"12","Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",1.12,1.53
"13","Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated","1","Mexico",2018,0,0.15,"EA",3.24,0.5
"14","Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated","1","Mexico",2018,0.15,0.3,"EA",2.6,0.7
"15","Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated","1","Mexico",2018,0.3,0.5,"EA",1.25,1.29
"16","Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated","1","Mexico",2018,0.5,1,"EA",0.82,1.94
