"","Source","Original_source","Site_name","Site","Habitat_type","Country","Year_collected","Latitude","Longitude","accuracy_flag","accuracy_code","Treatment","Method","U_depth_m","L_depth_m","SOM_perc_mean","SOM_perc_SD"
"1","Wails et al 2021","Song et al 2015","CNW Seongdong wetland","Seongdong wetland","brackish marsh","South Korea",2007,37.77,126.67,"direct from dataset","2","Invaded","LOI",0.1,0.3,6.12155,0.78432678925
"2","Wails et al 2021","Song et al 2015","CNW Seongdong wetland","Seongdong wetland","brackish marsh","South Korea",2007,37.77,126.67,"direct from dataset","2","Uninvaded","LOI",0.1,0.3,4.7338625,1.102320548625
