"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"24","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",1.37016,0.11,0.47,"https://doi.org/10.3389/fmars.2020.00380"
"25","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",4.419948,0.27,0.58,"https://doi.org/10.3389/fmars.2020.00380"
"26","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",7.958,0.45,0.41,"https://doi.org/10.3389/fmars.2020.00380"
"27","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",8.2348,0.47,0.36,"https://doi.org/10.3389/fmars.2020.00380"
"28","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",5.185638,0.26,0.56,"https://doi.org/10.3389/fmars.2020.00380"
"29","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",3.532611,0.17,0.48,"https://doi.org/10.3389/fmars.2020.00380"
"30","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",11.80004,0.47,0.3,"https://doi.org/10.3389/fmars.2020.00380"
"31","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",1.735644,0.07,0.93,"https://doi.org/10.3389/fmars.2020.00380"
"32","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",1.229989,0.06,0.82,"https://doi.org/10.3389/fmars.2020.00380"
"33","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",0.98244,0.06,0.71,"https://doi.org/10.3389/fmars.2020.00380"
"34","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.375268,0.03,1.08,"https://doi.org/10.3389/fmars.2020.00380"
"35","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.293688,0.02,1.03,"https://doi.org/10.3389/fmars.2020.00380"
"36","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.3,0.4,"EA",0.68,0.03,0.91,"https://doi.org/10.3389/fmars.2020.00380"
