"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3"
"169","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil","?",0.06,0.08,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA
"170","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil","?",0.08,0.1,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA
"171","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil","?",0.1,0.12,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA
"172","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil","?",0.12,0.2,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA
"173","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil","?",0.2,0.25,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA
"174","Copertino et al under review","MC 90","Idaskin et al 2015","St. Antonio",90,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina","2013",0,0.15,"LOI","0.47*x+0.0008",NA,6.46,0.26,NA,3.04,0.123,NA
"175","Copertino et al under review","MC 91","Idaskin et al 2015","St. Antonio",91,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina","2013",0,0.15,"LOI","0.47*x+0.0008",NA,5.69,0.64,NA,2.68,0.3016,NA
"176","Copertino et al under review","MC 92","Idaskin et al 2015","St. Antonio",92,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina","2013",0,0.15,"LOI","0.47*x+0.0008",NA,2.93,0.13,NA,1.38,0.0619,NA
"177","Copertino et al under review","MC 93","Idaskin et al 2015","St. Antonio",93,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina","2013",0,0.15,"LOI","0.47*x+0.0008",NA,2.55,0.29,NA,1.2,0.1371,NA
"178","Copertino et al under review","MC 94","Marinho et al 2018","St. Antonio",94,"Salt marsh",-40.725,-64.9816,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,4.5,0.3,NA,2.12,0.1418,NA
"179","Copertino et al under review","MC 95","Marinho et al 2018","St. Antonio",95,"Salt marsh",-40.725,-64.9816,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,4,0.4,NA,1.88,0.1888,NA
"180","Copertino et al under review","MC 96","Marinho et al 2018","St. Antonio",96,"Salt marsh",-40.728,-64.9535,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,4.7,0.3,NA,2.21,0.1418,NA
"181","Copertino et al under review","MC 97","Marinho et al 2018","St. Antonio",97,"Salt marsh",-40.728,-64.9535,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,4.7,0.6,NA,2.21,0.2828,NA
"182","Copertino et al under review","MC 98","Marinho et al 2018","St. Antonio",98,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.4,NA,1.69,0.1888,NA
"183","Copertino et al under review","MC 99","Marinho et al 2018","St. Antonio",99,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.4,NA,1.69,0.1888,NA
"184","Copertino et al under review","MC 100","Marinho et al 2018","St. Antonio",100,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,4.3,0.3,NA,2.02,0.1418,NA
"185","Copertino et al under review","MC 101","Marinho et al 2018","St. Antonio",101,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,3.5,0.9,NA,1.65,0.4238,NA
"186","Copertino et al under review","MC 102","Marinho et al 2018","St. Antonio",102,"Salt marsh",-40.792,-64.8519,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.6,NA,1.69,0.2828,NA
"187","Copertino et al under review","MC 103","Marinho et al 2018","St. Antonio",103,"Salt marsh",-40.792,-64.8519,"direct from dataset","1","Argentina","2013/2014",0,0.15,"LOI","0.47*x+0.0008",NA,3.2,0.5,NA,1.5,0.2358,NA
"188","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0,0.05,"LOI","0.47*x+0.0008",82,NA,NA,38.54,NA,NA,0.2
"189","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.05,0.1,"LOI","0.47*x+0.0008",82,NA,NA,38.54,NA,NA,0.4
"190","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.1,0.2,"LOI","0.47*x+0.0008",82,NA,NA,38.54,NA,NA,0.45
"191","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.2,0.22,"LOI","0.47*x+0.0008",82,NA,NA,38.54,NA,NA,0.5
"192","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.22,0.27,"LOI","0.47*x+0.0008",86,NA,NA,40.42,NA,NA,0.5
"193","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.27,0.3,"LOI","0.47*x+0.0008",80,NA,NA,37.6,NA,NA,0.5
"194","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.3,0.33,"LOI","0.47*x+0.0008",79,NA,NA,37.13,NA,NA,0.5
"195","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.33,0.35,"LOI","0.47*x+0.0008",78,NA,NA,36.66,NA,NA,0.5
"196","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.35,0.4,"LOI","0.47*x+0.0008",75,NA,NA,35.25,NA,NA,0.5
"197","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.4,0.45,"LOI","0.47*x+0.0008",70,NA,NA,32.9,NA,NA,0.6
"198","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.45,0.5,"LOI","0.47*x+0.0008",68,NA,NA,31.96,NA,NA,0.6
"199","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.5,0.53,"LOI","0.47*x+0.0008",66,NA,NA,31.02,NA,NA,0.7
"200","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.53,0.55,"LOI","0.47*x+0.0008",60,NA,NA,28.2,NA,NA,0.7
"201","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.55,0.58,"LOI","0.47*x+0.0008",55,NA,NA,25.85,NA,NA,0.5
"202","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.58,0.6,"LOI","0.47*x+0.0008",50,NA,NA,23.5,NA,NA,0.5
"203","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.6,0.64,"LOI","0.47*x+0.0008",50,NA,NA,23.5,NA,NA,0.4
"204","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.64,0.66,"LOI","0.47*x+0.0008",49,NA,NA,23.03,NA,NA,0.4
"205","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.66,0.68,"LOI","0.47*x+0.0008",48,NA,NA,22.56,NA,NA,0.4
"206","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.68,0.7,"LOI","0.47*x+0.0008",47,NA,NA,22.09,NA,NA,0.4
"207","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.7,0.71,"LOI","0.47*x+0.0008",46,NA,NA,21.62,NA,NA,0.4
"208","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.71,0.72,"LOI","0.47*x+0.0008",44,NA,NA,20.68,NA,NA,0.4
"209","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.72,0.73,"LOI","0.47*x+0.0008",43,NA,NA,20.21,NA,NA,0.4
"210","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.73,0.74,"LOI","0.47*x+0.0008",41.33,NA,NA,19.43,NA,NA,0.4
"211","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.74,0.75,"LOI","0.47*x+0.0008",39.83,NA,NA,18.72,NA,NA,0.4
"212","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.75,0.76,"LOI","0.47*x+0.0008",38.33,NA,NA,18.02,NA,NA,0.4
"213","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.76,0.77,"LOI","0.47*x+0.0008",36.83,NA,NA,17.31,NA,NA,0.4
"214","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.77,0.78,"LOI","0.47*x+0.0008",35.33,NA,NA,16.61,NA,NA,0.4
"215","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.78,0.79,"LOI","0.47*x+0.0008",33.83,NA,NA,15.9,NA,NA,0.4
"216","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.79,0.8,"LOI","0.47*x+0.0008",32.33,NA,NA,15.2,NA,NA,0.4
"217","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.8,0.81,"LOI","0.47*x+0.0008",30.83,NA,NA,14.49,NA,NA,0.4
"218","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.81,0.82,"LOI","0.47*x+0.0008",29.33,NA,NA,13.79,NA,NA,0.4
"219","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.82,0.83,"LOI","0.47*x+0.0008",27.83,NA,NA,13.08,NA,NA,0.4
"220","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.83,0.84,"LOI","0.47*x+0.0008",26.33,NA,NA,12.38,NA,NA,0.4
"221","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.84,0.85,"LOI","0.47*x+0.0008",24.83,NA,NA,11.67,NA,NA,0.4
"222","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.85,0.86,"LOI","0.47*x+0.0008",23.33,NA,NA,10.97,NA,NA,0.4
"223","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.86,0.87,"LOI","0.47*x+0.0008",21.83,NA,NA,10.26,NA,NA,0.4
"224","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.87,0.88,"LOI","0.47*x+0.0008",20.33,NA,NA,9.56,NA,NA,0.4
"225","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.88,0.89,"LOI","0.47*x+0.0008",18.83,NA,NA,8.85,NA,NA,0.4
"226","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.89,0.9,"LOI","0.47*x+0.0008",17,NA,NA,7.99,NA,NA,0.4
"227","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.9,0.91,"LOI","0.47*x+0.0008",16,NA,NA,7.52,NA,NA,1
"228","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.91,0.92,"LOI","0.47*x+0.0008",15,NA,NA,7.05,NA,NA,1
"229","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.92,0.93,"LOI","0.47*x+0.0008",14,NA,NA,6.58,NA,NA,1
"230","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.93,0.94,"LOI","0.47*x+0.0008",5,NA,NA,2.35,NA,NA,1
"231","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.94,0.95,"LOI","0.47*x+0.0008",5,NA,NA,2.35,NA,NA,1
"232","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.95,0.96,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,1
"233","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.96,0.97,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,1
"234","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.97,0.98,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,1
"235","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.98,0.99,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,1
"236","Copertino et al under review","MC 117","Newton 2017","Swan Inlet",117,"Salt marsh",-51.8849,-58.4962,"direct from dataset","1","Argentina","2013",0.99,1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,1
"237","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0,0.05,"LOI","0.47*x+0.0008",35,NA,NA,16.45,NA,NA,0.6
"238","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.05,0.15,"LOI","0.47*x+0.0008",78,NA,NA,36.66,NA,NA,0.4
"239","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.15,0.25,"LOI","0.47*x+0.0008",78,NA,NA,36.66,NA,NA,0.2
"240","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.25,0.3,"LOI","0.47*x+0.0008",22,NA,NA,10.34,NA,NA,0.5
"241","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.3,0.35,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.6
"242","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.35,0.4,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.58
"243","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.4,0.45,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.57
"244","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.45,0.75,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.55
"245","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.75,0.8,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.7
"246","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.8,0.9,"LOI","0.47*x+0.0008",40,NA,NA,18.8,NA,NA,0.4
"247","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",0.9,1.05,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.5
"248","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",1.05,1.2,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.6
"249","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",1.2,1.25,"LOI","0.47*x+0.0008",50,NA,NA,23.5,NA,NA,0.2
"250","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",1.25,1.3,"LOI","0.47*x+0.0008",40,NA,NA,18.8,NA,NA,0.4
"251","Copertino et al under review","MC 118","Payne et al 2019","Swan Inlet",118,"Salt marsh",-51.82,-58.59,"direct from dataset","1","Argentina","?",1.3,1.5,"LOI","0.47*x+0.0008",20,NA,NA,9.4,NA,NA,0.7
