"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Emirate","Country","Year_collected","U_depth_m","L_depth_m","Method","IC_perc","OC_perc","SOM_perc","BD_reported_g_cm3","N_perc"
"143","Schile et al 2016","LS thumayriyah high sabkha 3","thumayriyah",3,"high sabkha",24.129726,53.029059,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","5.74","1.21","5.466",0.632,"0.000"
"144","Schile et al 2016","LS thumayriyah high sabkha 3","thumayriyah",3,"high sabkha",24.129726,53.029059,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","3.42","0.78","3.246",1.295,"0.000"
"145","Schile et al 2016","LS thumayriyah low sabkha 1","thumayriyah",1,"low sabkha",24.132536,53.028825,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","1.72","0.98","8.045",1.273,"0.000"
"146","Schile et al 2016","LS thumayriyah low sabkha 1","thumayriyah",1,"low sabkha",24.132536,53.028825,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","4.67","0.91","5.951",1.518,"0.000"
"147","Schile et al 2016","LS thumayriyah low sabkha 1","thumayriyah",1,"low sabkha",24.132536,53.028825,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.65,"EA","5.06","0.69","5.271",1.522,"0.000"
"148","Schile et al 2016","LS thumayriyah low sabkha 2","thumayriyah",2,"low sabkha",24.132749,53.029184,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","1.74","3.79","7.046",1.63,"0.000"
"149","Schile et al 2016","LS thumayriyah low sabkha 2","thumayriyah",2,"low sabkha",24.132749,53.029184,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","4.21","0.98","7.631",1.384,"0.000"
"150","Schile et al 2016","LS thumayriyah low sabkha 2","thumayriyah",2,"low sabkha",24.132749,53.029184,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.52,"EA","5.60","0.74","5.124",1.428,"0.000"
"151","Schile et al 2016","LS thumayriyah low sabkha 3","thumayriyah",3,"low sabkha",24.132956,53.029489,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","3.07","1.30","7.753",1.156,"0.000"
"152","Schile et al 2016","LS thumayriyah low sabkha 3","thumayriyah",3,"low sabkha",24.132956,53.029489,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","5.58","1.07","5.572",1.48,"0.039"
"153","Schile et al 2016","LS thumayriyah low sabkha 3","thumayriyah",3,"low sabkha",24.132956,53.029489,"Garmin GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","5.87","0.78","4.561",1.629,"0.055"
