"","Source","Site_name","Site","Subsite","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","Conv_factor","DOI"
"21","Raw et al 2020","JLR Knysna 3 3","Knysna Estuary",3,3,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",1.769516064,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"22","Raw et al 2020","JLR Knysna 3 1","Knysna Estuary",3,1,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.286282306,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"23","Raw et al 2020","JLR Knysna 3 2","Knysna Estuary",3,2,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.948192823,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"24","Raw et al 2020","JLR Knysna 3 3","Knysna Estuary",3,3,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.592952835,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"25","Raw et al 2020","JLR Knysna 3 1","Knysna Estuary",3,1,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",3.20625779,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"26","Raw et al 2020","JLR Knysna 3 2","Knysna Estuary",3,2,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.614306785,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"27","Raw et al 2020","JLR Knysna 3 3","Knysna Estuary",3,3,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",0.453153705,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"28","Raw et al 2020","JLR Knysna 4 1","Knysna Estuary",4,1,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.421529226,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"29","Raw et al 2020","JLR Knysna 4 2","Knysna Estuary",4,2,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.677932761,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"30","Raw et al 2020","JLR Knysna 4 3","Knysna Estuary",4,3,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.333696838,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"31","Raw et al 2020","JLR Knysna 4 1","Knysna Estuary",4,1,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.481888035,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"32","Raw et al 2020","JLR Knysna 4 2","Knysna Estuary",4,2,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.465309534,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"33","Raw et al 2020","JLR Knysna 4 3","Knysna Estuary",4,3,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.117550446,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"34","Raw et al 2020","JLR Knysna 4 1","Knysna Estuary",4,1,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",1.210720163,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"35","Raw et al 2020","JLR Knysna 4 2","Knysna Estuary",4,2,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",1.449575481,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"36","Raw et al 2020","JLR Knysna 4 3","Knysna Estuary",4,3,"Saltmarsh","-34.055256"," 23.016786","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",1.131648435,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"37","Raw et al 2020","JLR Knysna 5 1","Knysna Estuary",5,1,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",4.539255796,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"38","Raw et al 2020","JLR Knysna 5 2","Knysna Estuary",5,2,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",3.14926892,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"39","Raw et al 2020","JLR Knysna 5 3","Knysna Estuary",5,3,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.507425572,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"40","Raw et al 2020","JLR Knysna 5 1","Knysna Estuary",5,1,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",3.23811869,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"41","Raw et al 2020","JLR Knysna 5 2","Knysna Estuary",5,2,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",3.48440259,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"42","Raw et al 2020","JLR Knysna 5 3","Knysna Estuary",5,3,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",3.604824502,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"43","Raw et al 2020","JLR Knysna 5 1","Knysna Estuary",5,1,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.161900815,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"44","Raw et al 2020","JLR Knysna 5 2","Knysna Estuary",5,2,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.284464709,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"45","Raw et al 2020","JLR Knysna 5 3","Knysna Estuary",5,3,"Saltmarsh","-34.040994"," 23.003736","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.60084486,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"46","Raw et al 2020","JLR Knysna 6 1","Knysna Estuary",6,1,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",12.36678274,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"47","Raw et al 2020","JLR Knysna 6 2","Knysna Estuary",6,2,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",15.35400431,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"48","Raw et al 2020","JLR Knysna 6 3","Knysna Estuary",6,3,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",10.53755568,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
