"","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3"
"1","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",22.287,2.053,0.499247365
"2","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",7.6,NA,1.237388413
"3","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.832,NA,2.524514395
"4","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",24.724,2.2,0.361233642
"5","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.4,0.45,"EA",2.853,NA,1.804927495
"6","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",2.73,NA,2.076088279
"7","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.646,NA,2.316952677
"8","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.431,NA,2.669368324
"9","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",0.55,1.558,0.558920563
"10","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.884,NA,2.225511778
"11","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.552,NA,2.607099102
"12","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.945934,-4.080732,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",14.958,2.059,0.380707364
"13","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.945934,-4.080732,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",1.974,NA,2.273690316
"14","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",25.192,1.948,0.419470892
"15","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.874,NA,1.411088633
"16","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",3.445,NA,1.730279409
"17","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",20.012,1.671,0.468731697
"18","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",4.587,NA,1.526947726
"19","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.606,NA,2.354138785
"20","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",25.873,2.09,0.413175355
"21","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",1.494,NA,2.343733465
"22","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.762,NA,2.413111693
"23","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",7.867,0.397,0.988368112
"24","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",5.378,NA,1.416973898
"25","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",4.807,NA,1.465668812
"26","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.4,0.45,"EA",0.36,NA,2.453961944
"27","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.351,NA,2.654832001
"28","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",17.89,1.871,0.468477046
"29","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",4.703,NA,1.532783476
"30","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.617,NA,1.86653887
"31","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",23.261,2.151,0.358772017
"32","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",3.922,NA,1.613925161
"33","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",2.72,NA,2.077573743
"34","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.817,NA,2.595745915
"35","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",24.163,1.934,0.343846644
"36","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.25,NA,2.452469407
"37","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.403,NA,2.5870029
"38","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94710131,-4.08153539,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",24.418,1.726,0.3541883
"39","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94710131,-4.08153539,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",1.234,NA,1.072622197
"40","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94710131,-4.08153539,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",1.767,NA,2.288771309
"41","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0,0.02,"EA",27.056,NA,0.2
"42","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.02,0.03,"EA",2.017,NA,0.18
"43","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.03,0.04,"EA",18.161,NA,0.21
"44","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.04,0.05,"EA",0.365,NA,0.17
"45","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.05,0.06,"EA",20.821,NA,0.19
"46","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.06,0.07,"EA",20.469,NA,0.2
"47","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.07,0.08,"EA",16.646,NA,0.22
"48","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.08,0.09,"EA",16.442,NA,0.25
"49","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.09,0.1,"EA",19.279,NA,0.22
"50","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.1,0.11,"EA",16.558,NA,0.18
"51","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.11,0.12,"EA",13.151,NA,0.22
"52","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.12,0.13,"EA",13.401,NA,0.28
"53","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.13,0.14,"EA",28.199,NA,0.25
"54","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.14,0.15,"EA",9.486,NA,0.39
"55","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.15,0.16,"EA",7.818,NA,0.37
"56","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.16,0.17,"EA",7.625,NA,0.4
"57","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.17,0.18,"EA",7.306,NA,0.47
"58","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.18,0.19,"EA",6.389,NA,0.4
"59","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.19,0.2,"EA",8.577,NA,0.4
"60","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.2,0.21,"EA",7.353,NA,0.41
"61","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.21,0.22,"EA",3.54,NA,0.49
"62","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.22,0.23,"EA",6.701,NA,0.42
"63","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.23,0.24,"EA",3.863,NA,0.55
"64","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.24,0.25,"EA",5.991,NA,0.38
"65","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.25,0.26,"EA",5.091,NA,0.48
"66","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.26,0.27,"EA",6.946,NA,0.45
"67","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.27,0.28,"EA",7.605,NA,0.25
"68","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.28,0.29,"EA",7.164,NA,0.1
"69","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0,0.02,"EA",31.45,NA,0.14
"70","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.02,0.03,"EA",25.931,NA,0.15
"71","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.03,0.04,"EA",23.057,NA,0.2
"72","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.04,0.05,"EA",23.682,NA,0.26
"73","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.05,0.06,"EA",19.256,NA,0.26
"74","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.06,0.07,"EA",12.755,NA,0.17
"75","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.07,0.08,"EA",16.244,NA,0.23
"76","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.08,0.09,"EA",13.081,NA,0.26
"77","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.09,0.1,"EA",14.769,NA,0.34
"78","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.1,0.11,"EA",7.919,NA,0.42
"79","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.11,0.12,"EA",8.889,NA,0.4
"80","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.12,0.13,"EA",6.8,NA,0.4
"81","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.13,0.14,"EA",4.867,NA,0.52
"82","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.14,0.15,"EA",2.951,NA,0.73
"83","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.15,0.16,"EA",1.922,NA,0.95
"84","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.16,0.17,"EA",4.279,NA,1.23
"85","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.17,0.18,"EA",1.814,NA,1.05
"86","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.18,0.19,"EA",1.39,NA,0.92
"87","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.19,0.2,"EA",1.086,NA,1.03
"88","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.2,0.21,"EA",0.706,NA,0.99
"89","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.21,0.22,"EA",0.607,NA,0.71
"90","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.22,0.23,"EA",0.592,NA,0.69
"91","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.23,0.24,"EA",0.579,NA,0.84
"92","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.24,0.25,"EA",0.46,NA,0.89
"93","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.25,0.26,"EA",0.583,NA,0.69
"94","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.26,0.27,"EA",0.752,NA,0.81
"95","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.27,0.28,"EA",0.527,NA,0.56
"96","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.28,0.29,"EA",0.589,NA,0.6
"97","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.29,0.3,"EA",0.418,NA,0.63
"98","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.3,0.31,"EA",0.614,NA,0.61
"99","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.31,0.32,"EA",1.018,NA,0.48
"100","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.32,0.33,"EA",0.746,NA,0.53
"101","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.33,0.34,"EA",0.349,NA,0.4
"102","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.34,0.35,"EA",0.368,NA,0.64
"103","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,NA,NA,"EA",0.47,NA,0.54
"104","Miller et al 2022","LCM Cambusmore Lodge (Loch Fleet)","Cambusmore Lodge (Loch Fleet)","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.36,0.37,"EA",0.552,NA,0.38
"105","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8637955,-4.02362554,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",1.658,0.141,1.646
"106","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8637955,-4.02362554,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.618,NA,2.55
"107","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8637955,-4.02362554,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.707,NA,2.588
"108","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8637955,-4.02362554,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.455,NA,2.689
"109","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86614999,-4.02117366,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",1.799,0.183,1.505
"110","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86614999,-4.02117366,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.392,NA,2.332
"111","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8663928,-4.0209234,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",1.912,0.097,1.261
"112","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.8663928,-4.0209234,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.527,NA,2.365
"113","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86664324,-4.02066352,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",28.741,1.973,0.252
"114","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86664324,-4.02066352,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.48,NA,1.9
"115","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86689569,-4.02040517,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",25.835,1.533,0.347
"116","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86689569,-4.02040517,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.329,NA,2.615
"117","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86714063,-4.02013402,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",11.149,0.531,0.638
"118","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86714063,-4.02013402,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.63,NA,1.385
"119","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86739087,-4.01986235,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",15.324,1.415,0.36
"120","Miller et al 2022","LCM Dornoch Point","Dornoch Point","Salt marsh",57.86739087,-4.01986235,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.829,NA,2.547
