"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0,0.02,"EA",10.291,0.23794725,"unpublished"
"2","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",10.455,0.315034831,"unpublished"
"3","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",6.917,0.550831721,"unpublished"
"4","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",4.955,0.488832029,"unpublished"
"5","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",5.25,0.380981566,"unpublished"
"6","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",5.46,0.409396029,"unpublished"
"7","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",6.672,0.32046732,"unpublished"
"8","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.906,0.409968986,"unpublished"
"9","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0,0.02,"EA",8.632,0.178508184,"unpublished"
"10","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",6.236,0.252044841,"unpublished"
"11","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",5.233,0.280664437,"unpublished"
"12","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",8.55,0.355240907,"unpublished"
"13","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",5.262,0.324711452,"unpublished"
"14","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",5.935,0.374707324,"unpublished"
"15","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",5.735,0.361069514,"unpublished"
"16","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.989,0.409516279,"unpublished"
"17","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Basal Silt",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",5.579,0.257364153,"unpublished"
"18","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Basal Silt",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",6.818,0.186911565,"unpublished"
"19","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Fibrous Peat ",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0,0.02,"EA",8.952,0.183332347,"unpublished"
"20","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Fibrous Peat ",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",6.474,0.338575616,"unpublished"
"21","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Organic Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",6.048,0.336644536,"unpublished"
"22","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Organic Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",4.847,0.335307634,"unpublished"
"23","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Organic Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",4.89,0.360574366,"unpublished"
"24","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Basal Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",8.532,0.477811433,"unpublished"
"25","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Basal Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",2.461,0.364259687,"unpublished"
"26","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Basal Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",3.418,0.391507013,"unpublished"
"27","Smeaton et al 2022a","CS ARN-20-03","Arne","ARN-20-03","Saltmarsh","Basal Silt",50.690261,-2.0280488,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",3.02,0.423663385,"unpublished"
"28","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Fibrous Peat (Silty)",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0,0.02,"EA",26.736,0.193221174,"unpublished"
"29","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Fibrous Peat (Silty)",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",25.891,0.265753387,"unpublished"
"30","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Fibrous Peat (Silty)",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",24.125,0.333206789,"unpublished"
"31","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",12.87,0.294365909,"unpublished"
"32","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",12.551,0.267995704,"unpublished"
"33","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",12.362,0.198391942,"unpublished"
"34","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",12.468,0.282673326,"unpublished"
"35","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",13.756,0.322759151,"unpublished"
"36","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Silt with Organics",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",14.276,0.357787386,"unpublished"
"37","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Basal Silt",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",12.222,0.370541002,"unpublished"
"38","Smeaton et al 2022a","CS ARN-20-04","Arne","ARN-20-04","Saltmarsh","Basal Silt",50.690117,-2.0277089,"direct from dataset","1","UK","England",2020,0.9,0.92,"EA",12.045,0.365794648,"unpublished"
"39","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Fibrous Peat (Silty)",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0,0.02,"EA",32.407,0.221791255,"unpublished"
"40","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Fibrous Peat (Silty)",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",33.046,0.197210658,"unpublished"
"41","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Fibrous Peat (Silty)",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",24.598,0.260816047,"unpublished"
"42","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Silt with Organics",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",14.272,0.301545566,"unpublished"
"43","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Silt with Organics",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",17.383,0.202353131,"unpublished"
"44","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Silt with Organics",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",19.553,0.243004841,"unpublished"
"45","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Basal Silt",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",15.307,0.38282069,"unpublished"
"46","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Basal Silt",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",13.815,0.504252375,"unpublished"
"47","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Basal Silt",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",12.614,0.434238347,"unpublished"
"48","Smeaton et al 2022a","CS ARN-20-05","Arne","ARN-20-05","Saltmarsh","Basal Silt",50.689928,-2.02727,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",11.396,0.485592342,"unpublished"
"49","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Fibrous Peat (Silty)",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0,0.02,"EA",7.583,0.17847989,"unpublished"
"50","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Fibrous Peat (Silty)",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",6.282,0.317956209,"unpublished"
"51","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Fibrous Peat (Silty)",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",6.943,0.272098364,"unpublished"
"52","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Silt with Organics",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",6.923,0.362547887,"unpublished"
"53","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Silt with Organics",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",3.853,0.490869212,"unpublished"
"54","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Basal Silt",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",6.647,0.460587332,"unpublished"
"55","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Basal Silt",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",6.123,0.426853557,"unpublished"
"56","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Basal Silt",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.26,0.442549772,"unpublished"
"57","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Basal Silt",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",4.363,0.506466397,"unpublished"
"58","Smeaton et al 2022a","CS ARN-20-06","Arne","ARN-20-06","Saltmarsh","Basal Silt",50.689856,-2.0270576,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",3.501,0.585881177,"unpublished"
"59","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Fibrous Peat (Silty)",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0,0.02,"EA",6.613,0.254867189,"unpublished"
"60","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Fibrous Peat (Silty)",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",7.391,0.282821871,"unpublished"
"61","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Fibrous Peat (Silty)",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",6.874,0.339983253,"unpublished"
"62","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Silt with Organics",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",5.759,0.324046538,"unpublished"
"63","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Silt with Organics",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",3.914,0.373179437,"unpublished"
"64","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Silt with Organics",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",3.477,0.432045545,"unpublished"
"65","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Silt with Organics",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",3.861,0.321245411,"unpublished"
"66","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Basal Silt",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",3.247,0.426605983,"unpublished"
"67","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Basal Silt",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",2.876,0.392391207,"unpublished"
"68","Smeaton et al 2022a","CS ARN-20-07","Arne","ARN-20-07","Saltmarsh","Basal Silt",50.689793,-2.0268877,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",2.899,0.318861623,"unpublished"
"69","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Humified Peat",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0,0.02,"EA",10.02,0.204821801,"unpublished"
"70","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Humified Peat",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",8.68,0.263603027,"unpublished"
"71","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Silt with Organics",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",7.182,0.353012737,"unpublished"
"72","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Silt with Organics",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",4.296,0.379000971,"unpublished"
"73","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Silt with Organics",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",4.844,0.324937805,"unpublished"
"74","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Silt with Organics",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",4.857,0.362837902,"unpublished"
"75","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Silt with Organics",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",4.3,0.524907149,"unpublished"
"76","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Basal Silt",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.472,0.373978749,"unpublished"
"77","Smeaton et al 2022a","CS ARN-20-08","Arne","ARN-20-08","Saltmarsh","Basal Silt",50.690207,-2.0274117,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",4.109,0.383620001,"unpublished"
"78","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Fibrous Peat (Silty)",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0,0.02,"EA",9.595,0.310465316,"unpublished"
"79","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Fibrous Peat (Silty)",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",9.742,0.191198138,"unpublished"
"80","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Fibrous Peat (Silty)",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",8.497,0.312417617,"unpublished"
"81","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Fibrous Peat (Silty)",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",5.207,0.422234527,"unpublished"
"82","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Silt with Organics",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",4.91,0.400950206,"unpublished"
"83","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Silt with Organics",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",6.143,0.302861246,"unpublished"
"84","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Silt with Organics",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",5.815,0.351272643,"unpublished"
"85","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Silt with Organics",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.878,0.388090487,"unpublished"
"86","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Basal Silt",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",5.051,0.377296245,"unpublished"
"87","Smeaton et al 2022a","CS ARN-20-09","Arne","ARN-20-09","Saltmarsh","Basal Silt",50.690468,-2.027695,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",4.441,0.310903876,"unpublished"
"88","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Fibrous Peat (Silty)",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0,0.02,"EA",12.307,0.227591569,"unpublished"
"89","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Fibrous Peat (Silty)",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",12.189,0.213720331,"unpublished"
"90","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Humified Peat",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",7.5,0.275168286,"unpublished"
"91","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Humified Peat",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",8.115,0.366763724,"unpublished"
"92","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Humified Peat",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",6.259,0.384822505,"unpublished"
"93","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Silt with Organics",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",6.83,0.350940186,"unpublished"
"94","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh","Silt with Organics",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",5.643,0.333737305,"unpublished"
"95","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh"," Silt",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",5.396,0.39795102,"unpublished"
"96","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh"," Silt",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",4.362,0.432342635,"unpublished"
"97","Smeaton et al 2022a","CS ARN-20-10","Arne","ARN-20-10","Saltmarsh"," Silt",50.690746,-2.0280208,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",4.231,0.420904699,"unpublished"
"98","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Fibrous Peat (Silty)",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0,0.02,"EA",9.739,0.26832816,"unpublished"
"99","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt with Organics",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",6.843,0.27368284,"unpublished"
"100","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt with Organics",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",4.097,0.387064822,"unpublished"
"101","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt with Organics",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",7.149,0.367881346,"unpublished"
"102","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt with Organics",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",7.77,0.315876584,"unpublished"
"103","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt with Organics",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",7.747,0.334416366,"unpublished"
"104","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",6.443,0.36436579,"unpublished"
"105","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.803,0.365037777,"unpublished"
"106","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",1.925,0.453768427,"unpublished"
"107","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Silt",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",1.083,0.766136528,"unpublished"
"108","Smeaton et al 2022a","CS ARN-20-11","Arne","ARN-20-11","Saltmarsh","Sandy Silt",50.691088,-2.0283607,"direct from dataset","1","UK","England",2020,0.9,0.92,"EA",1.23,0.880480513,"unpublished"
"109","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Fibrous Peat (Silty)",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0,0.02,"EA",11.323,0.285071261,"unpublished"
"110","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Humified Peat",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",11.051,0.391308953,"unpublished"
"111","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Humified Peat",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",8.23,0.448979631,"unpublished"
"112","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Silt with Organics",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",6.5,0.461556409,"unpublished"
"113","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Silt with Organics",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",6.037,0.439727424,"unpublished"
"114","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh","Silt with Organics",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",8.941,0.291175737,"unpublished"
"115","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh"," Silt",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",6.664,0.305938242,"unpublished"
"116","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh"," Silt",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",5.826,0.32552491,"unpublished"
"117","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh"," Silt",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.7,0.72,"EA",5.75,0.349171798,"unpublished"
"118","Smeaton et al 2022a","CS ARN-20-12","Arne","ARN-20-12","Saltmarsh"," Silt",50.690953,-2.0280067,"direct from dataset","1","UK","England",2020,0.8,0.82,"EA",6.795,0.320799777,"unpublished"
"119","Smeaton et al 2022a","CS ARN-20-13","Arne","ARN-20-13","Saltmarsh","Humified Peat",50.690746,-2.027412,"direct from dataset","1","UK","England",2020,0,0.02,"EA",10.492,0.185114883,"unpublished"
"120","Smeaton et al 2022a","CS ARN-20-13","Arne","ARN-20-13","Saltmarsh","Humified Peat",50.690746,-2.027412,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",7.294,0.2741214,"unpublished"
"121","Smeaton et al 2022a","CS ARN-20-13","Arne","ARN-20-13","Saltmarsh","Silt with Organics",50.690746,-2.027412,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",7.161,0.290758397,"unpublished"
"122","Smeaton et al 2022a","CS ARN-20-13","Arne","ARN-20-13","Saltmarsh","Silt with Organics",50.690746,-2.027412,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",5.837,0.397477092,"unpublished"
"123","Smeaton et al 2022a","CS ARN-20-13","Arne","ARN-20-13","Saltmarsh","Silt with Organics",50.690746,-2.027412,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",4.778,0.348712017,"unpublished"
