system:index,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Core_type,Country,Data_type,Depth_to_bedrock_m,Habitat_type,L_depth_m,Location,M2Tide,Method,N_perc,Nation,OC_perc,OC_perc_combined,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,Plot,Replicate,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Season,Site,Site_name,Source,State,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,coastTyp,elevation,evi_med,evi_stdev,flowAcc,gHM_2016,maxTemp,merit_elevation,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens_change,savi_med,savi_stdev,slope,.geo
0000000000000000a970,0.39,0.39,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.21,NA,160.65691280523598,EA,NA,England,6.47,6.47,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.2,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a971,0.5,0.5,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.22,NA,160.65691280523598,EA,NA,England,5.95,5.95,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.21,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a972,0.42,0.42,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.23,NA,160.65691280523598,EA,NA,England,6,6,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.22,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a973,0.41,0.41,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.24,NA,160.65691280523598,EA,NA,England,6.09,6.09,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.23,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a974,0.41,0.41,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.25,NA,160.65691280523598,EA,NA,England,6.71,6.71,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.24,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a975,0.41,0.41,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.26,NA,160.65691280523598,EA,NA,England,4.62,4.62,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.25,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a976,0.39,0.39,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.27,NA,160.65691280523598,EA,NA,England,4.92,4.92,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.26,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a977,0.38,0.38,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.28,NA,160.65691280523598,EA,NA,England,4.36,4.36,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.27,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a978,0.45,0.45,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.29,NA,160.65691280523598,EA,NA,England,6.18,6.18,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.28,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a979,0.48,0.48,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.3,NA,160.65691280523598,EA,NA,England,4.61,4.61,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.29,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a97a,0.53,0.53,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.31,NA,160.65691280523598,EA,NA,England,4.86,4.86,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.3,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a97b,0.57,0.57,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.32,NA,160.65691280523598,EA,NA,England,3.54,3.54,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.31,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
