"Prop.Mean.1","Prop.Mean.2","Prop.sd.1","Prop.sd.2","Prop.2.5%","Prop.97.5%","Sim.Mean","Sim.sd","Sim.Median","Sim.MAD","Sim.2.5%","Sim.97.5%"
0,4.03583572540748e-12,2.40069222289942,2.40069222289942,-4.70639340787343,4.7063934078815,0.00345959967926993,2.39993539617069,0.00369403574315838,2.40009597124401,-4.69683571529792,4.70559720352207
0.567911354955493,0.567910859516113,2.40070250144805,2.40070250144816,-4.13850269875529,5.27432441778752,0.565685456755504,2.40059932075405,0.562425819557729,2.40203354186313,-4.13992447433749,5.26818478465071
1.14145915526505,1.14145816438225,2.40085737886467,2.40085737886511,-3.56525902050452,5.84817534926902,1.14194443243714,2.40164120005146,1.1422621220728,2.40018905483488,-3.56494342838705,5.84969096352493
1.72064340092867,1.72064191459604,2.40152887179992,2.40152887180091,-2.98739168640454,6.42867551559661,1.71978861481772,2.40306731351015,1.71978294165493,2.40252492732822,-2.99099488677651,6.42438279678532
2.30546409194635,2.30546211017778,2.40333618945005,2.40333618945181,-2.40611461384248,7.01703883419804,2.30731024814811,2.40146343532513,2.31037220469537,2.39824086438353,-2.39728559075932,7.01347300717271
2.8959212283181,2.89591875109223,2.40714294545536,2.40714294545811,-1.82312085850851,7.61495836069297,2.89231259635442,2.40411774986621,2.89073136354586,2.40385851957819,-1.82418927261542,7.60879244117789
3.49201481004391,3.49201183737566,2.41405019773635,2.4140501977403,-1.24056896934203,8.22459264409336,3.49288877023441,2.39908133649152,3.49309091321358,2.39904218107911,-1.21019509500852,8.18629512608151
4.09374483712379,4.09374136900033,2.42538247012836,2.42538247013371,-0.661055585035172,8.84853832303583,4.09419047633713,2.40042127474379,4.0934187304278,2.40400378826594,-0.607552675463316,8.79984456030568
4.70111130955773,4.70110734599085,2.4426635832211,2.44266358322804,-0.0875680519251789,9.48978274390688,4.70003965031436,2.39914863943367,4.69968725003642,2.39713825028783,0.00221410300793595,9.40106318879466
5.31411422734573,5.31410976833544,2.46757943248352,2.46757943249222,0.476588546864834,10.151630989806,5.31473937955661,2.40182189848398,5.31697184674199,2.40053945293797,0.598738746563185,10.0128575606057
5.9327535904878,5.93274863605771,2.50192607918893,2.50192607919951,1.02789315569961,10.8376041164158,5.93267922337396,2.40156514657736,5.93718374675148,2.40079722022486,1.22510245188244,10.6302759163661
6.55702939898393,6.55702394910832,2.54754381830245,2.54754381831503,1.56273800173423,11.5513098964824,6.55593395949641,2.4011527894645,6.556051501493,2.3988333803841,1.85615626946189,11.2609380684637
7.18694165283412,7.18693570754287,2.60624101958891,2.60624101960354,2.0775778994071,12.2962935156786,7.18480205398029,2.39863849209671,7.18570441178302,2.39761104388544,2.48415667371255,11.8837895905707
7.82249035203838,7.82248391127805,2.67971479064494,2.67971479066165,2.56908578491185,13.0758820376443,7.81995982452803,2.40155431887309,7.82026266193277,2.40033183450439,3.11384006646816,12.5369372639205
8.4636754965967,8.4636685604401,2.76947775990941,2.76947775992816,3.03429625346145,13.8930408674188,8.46300077449804,2.40033049394922,8.46144265448396,2.39743273118627,3.76294106885035,13.1777099967025
9.11049708650909,9.11048965490907,2.87680044818479,2.87680044820551,3.47071853553531,14.7502607742828,9.107944679034,2.40380990903823,9.10932287304061,2.40598557025445,4.40166874933734,13.8270211587603
9.76295512177554,9.76294719473211,3.00267635670759,3.00267635673017,3.87640493974998,15.6494894497142,9.76027987098612,2.40102684089691,9.75953627622847,2.40108603079653,5.05333196618144,14.4653303289252
10.4210496023961,10.4210411798578,3.14781263930682,3.14781263933114,4.24996913919077,16.5921132205249,10.4236045122158,2.40334939384426,10.42392586369,2.40430934002246,5.70835245334458,15.134053880978
11.0847805283706,11.084771610389,3.3126444515219,3.31264445154781,4.59055804119725,17.5789851795807,11.0828742548895,2.39941787118796,11.0867428124089,2.4030473223169,6.38304958890061,15.7865082261653
11.7541478996993,11.7541384862271,3.49736732268024,3.49736732270758,4.89778832375705,18.6104886486971,11.754217726114,2.39965135171954,11.7534517768765,2.40090225296899,7.04590971614977,16.454201741849
12.429151716382,12.4291418075177,3.70198011226286,3.70198011229148,5.17166222292539,19.68662139211,12.4293005473076,2.40051162979798,12.4288310342371,2.40167513244383,7.72093918616012,17.1347867834205
13.1097919784187,13.1097815740597,3.92633133149205,3.9263313315218,5.41247672192036,20.8070864261991,13.1069458050462,2.40094085536428,13.1063605795898,2.39774658370982,8.40467594983975,17.8166533098183
13.7960686858096,13.7960577860113,4.1701631989749,4.17016319900565,5.62073718374364,21.971378388279,13.7991629043356,2.40167905164611,13.7986409146029,2.40034035255776,9.09200979653166,18.5095840713561
14.4879818385545,14.4879704434071,4.43314990872126,4.43314990875287,5.79708232885801,23.1788585579563,14.4902502069521,2.40230009977647,14.4883296443811,2.40389785132706,9.78596085353977,19.2051175064737
15.1855314366534,15.1855195459683,4.71492854489866,4.71492854493102,5.94222362872807,24.4288154632086,15.1863195917959,2.40341962309447,15.1837668620227,2.40419554098751,10.4761447072232,19.9046624560015
15.8887174801065,15.8887050940723,5.01512252838355,5.01512252841656,6.05689934142527,25.7205108467193,15.8856358641783,2.40019476873119,15.8825225882258,2.40329323145388,11.1777102398324,20.5861762604089
16.5975399689136,16.5975270872944,5.33335835704863,5.3333583570822,6.14184169197772,27.0532124826111,16.5976536656026,2.40076893670979,16.5967929749035,2.40188237052675,11.9004927515511,21.3030858012578
17.3119989030747,17.3119855261065,5.6692768014582,5.66927680149226,6.19775492567119,28.4262161265419,17.3117912585217,2.40310567043135,17.312718146913,2.40071754092077,12.6041775196579,22.0167523174197
