"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"CCRCN",NA,NA,NA,"marsh",41.69052,-71.4516,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",24.95,0.1792,"RI_MCB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 RI","Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,NA,0.1792,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.62503,-71.32408,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",24.7,0.0965,"RI_PIA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 RI","Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,NA,0.0965,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.625,-71.32408,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",24.5,0.1095,"RI_PIB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 RI","Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,0.1095,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.54387,-71.20399,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",20.26,0.07,"RI_MDA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 RI","Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.26,NA,0.07,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.54405,-71.20405,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",16.42,0.1654,"RI_MDB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 RI","Rhode Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.42,NA,0.1654,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.93744,-70.05544,"direct from dataset",1,"United States",2017,NA,0,0.01,"EA","Core-level",38.51,0.0591,"MA_HRPA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.51,NA,0.0591,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.93754,-70.05544,"direct from dataset",1,"United States",2017,NA,0,0.02,"EA","Core-level",38.24,0.0578,"MA_HRPB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.24,NA,0.0578,1,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.96033,-70.05624,"direct from dataset",1,"United States",2015,NA,0,0.01,"EA","Core-level",43.62,0.0271,"MA_HROCA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.62,NA,0.0271,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.96022,-70.0564,"direct from dataset",1,"United States",2015,NA,0,0.01,"EA","Core-level",40.52,0.0882,"MA_HROCB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.52,NA,0.0882,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.92977,-70.07056,"direct from dataset",1,"United States",2015,NA,0,0.01,"EA","Core-level",11.94,0.5687,"MA_HRCHA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.94,NA,0.5687,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.92997,-70.07018,"direct from dataset",1,"United States",2015,NA,0,0.01,"EA","Core-level",12.78,0.291,"MA_HRCHB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,0.291,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.93228,-70.02808,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",5.55,0.4446,"MA_MYNA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,0.4446,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.93243,-70.02815,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",9.73,0.3168,"MA_MYNB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,NA,0.3168,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.9328,-70.03253,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",39.72,0.0263,"MA_MYURA",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.72,NA,0.0263,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",41.93275,-70.03252,"direct from dataset",1,"United States",2016,NA,0,0.01,"EA","Core-level",38.99,0.0506,"MA_MYURB",NA,NA,NA,NA,"Okeefe-Suttles et al 2021 Wellfleet","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.99,NA,0.0506,0.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",39.8612,-75.1707,"direct from dataset",1,"United States",NA,NA,0,0.02,"EA","Core-level",NA,0.100606061,"WC1A_15",17.5,NA,NA,NA,"Orson 1990","New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,0.100606061,1,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.40482583,-88.40015858,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.860893900473456,"grand_bay_6",5.19930675909874,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19930675909874,0.860893900473456,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.40468012,-88.40026546,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.32989259091367,"grand_bay_7",19.2439862542956,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2439862542956,0.32989259091367,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.40453441,-88.40038333,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.286828221013398,"grand_bay_8",24.3859649122807,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3859649122807,0.286828221013398,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36386648,-88.41472917,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.465507580336456,"grand_bay_11",12.5,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0.465507580336456,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36393752,-88.41480157,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.459337539034955,"grand_bay_13",12.2775800711744,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2775800711744,0.459337539034955,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36409547,-88.41490552,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.368549788455727,"grand_bay_14",14.8275862068963,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8275862068963,0.368549788455727,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36424532,-88.41501021,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.446241941170545,"grand_bay_15",14.655172413793,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.655172413793,0.446241941170545,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36153406,-88.41558947,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.418413795708673,"grand_bay_18",16.6666666666667,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6666666666667,0.418413795708673,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36152874,-88.41558041,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.431635312783318,"grand_bay_19",12.7551020408163,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7551020408163,0.431635312783318,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36152237,-88.41557042,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.455056285886975,"grand_bay_20",13.0000000000001,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0000000000001,0.455056285886975,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.36129345,-88.41525198,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.400281429434874,"grand_bay_22",14.8148148148149,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8148148148149,0.400281429434874,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37497637,-88.44251226,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.722130930794802,"grand_bay_26",7.25388601036272,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25388601036272,0.722130930794802,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.3749711,-88.44250398,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.753107056512542,"grand_bay_27",9.09090909090918,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.09090909090918,0.753107056512542,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37484486,-88.44236176,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.739507781807192,"grand_bay_28",7.00000000000003,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00000000000003,0.739507781807192,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37479788,-88.44230526,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.863034527047446,"grand_bay_29",6.16113744075825,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16113744075825,0.863034527047446,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37474741,-88.44224769,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.28385652765186,"grand_bay_30",1.92307692307688,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92307692307688,1.28385652765186,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37470648,-88.44220004,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.41796048655183,"grand_bay_31",0.975609756097713,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975609756097713,1.41796048655183,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37469762,-88.44219081,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.34316447567241,"grand_bay_32",1.4634146341464,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4634146341464,1.34316447567241,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37466513,-88.44215307,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.41229412209127,"grand_bay_33",2.95566502463065,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95566502463065,1.41229412209127,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37450468,-88.44192273,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.29518925657298,"grand_bay_37",2.07253886010358,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07253886010358,1.29518925657298,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37449512,-88.44190643,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.22114876095497,"grand_bay_38",2.50000000000004,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50000000000004,1.22114876095497,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37437652,-88.44175121,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.76481754306437,"grand_bay_39",9.40594059405946,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40594059405946,0.76481754306437,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37231125,-88.42361955,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.396503853127833,"grand_bay_45",11.3744075829383,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3744075829383,0.396503853127833,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37220738,-88.42365253,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.02849236929586,"grand_bay_46",4.61538461538461,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61538461538461,1.02849236929586,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37219318,-88.42365733,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.00129381988516,"grand_bay_47",4.49999999999999,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49999999999999,1.00129381988516,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37216194,-88.42367099,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.912520776669689,"grand_bay_50",4.66321243523315,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66321243523315,0.912520776669689,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37214712,-88.42367653,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.79314936536718,"grand_bay_51",4.97512437810952,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97512437810952,0.79314936536718,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.3721343,-88.42368208,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.863034527047446,"grand_bay_52",5.29100529100536,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29100529100536,0.863034527047446,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37211275,-88.42369289,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.969562178906014,"grand_bay_53",4.95049504950502,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95049504950502,0.969562178906014,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37210282,-88.42369622,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.976361816258688,"grand_bay_54",3.98009950248765,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98009950248765,0.976361816258688,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37199152,-88.42372877,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.887588773043215,"grand_bay_55",4.73933649289106,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73933649289106,0.887588773043215,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37193984,-88.4237541,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.776150271985494,"grand_bay_56",8.08080808080792,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08080808080792,0.776150271985494,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.37191431,-88.42375891,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.611070187367785,"grand_bay_57",10.0502512562814,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0502512562814,0.611070187367785,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38157178,-88.43934205,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.343240027198549,"grand_bay_60",16.6666666666667,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6666666666667,0.343240027198549,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38157901,-88.43935133,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.298664626775461,"grand_bay_61",21.6494845360824,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6494845360824,0.298664626775461,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38159776,-88.43936833,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.346639845874887,"grand_bay_62",14.3589743589742,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3589743589742,0.346639845874887,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38162694,-88.43938986,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.396503853127833,"grand_bay_63",16.6666666666667,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6666666666667,0.396503853127833,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38165116,-88.43940773,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.362883423995165,"grand_bay_64",16.243654822335,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.243654822335,0.362883423995165,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38170192,-88.43944622,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.985805757026292,"grand_bay_65",2.98507462686561,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98507462686561,0.985805757026292,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38172336,-88.43946182,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.02924788455727,"grand_bay_67",4.16666666666658,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16666666666658,1.02924788455727,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38172899,-88.439463,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.906098896947718,"grand_bay_68",4.4776119402985,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4776119402985,0.906098896947718,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38173488,-88.4394671,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.788616273798731,"grand_bay_69",6.77083333333346,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77083333333346,0.788616273798731,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38292082,-88.43363076,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.34512881535207,"grand_bay_73",18.3246073298428,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3246073298428,0.34512881535207,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38291109,-88.43364519,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.545718117255969,"grand_bay_74",11.1111111111111,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1111111111111,0.545718117255969,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38275642,-88.43374764,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.394992822605017,"grand_bay_75",16.8367346938775,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8367346938775,0.394992822605017,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38271076,-88.43378178,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.866812103354488,"grand_bay_76",6.77083333333329,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77083333333329,0.866812103354488,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38267054,-88.43381153,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.35298617407072,"grand_bay_78",2.4509803921569,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4509803921569,1.35298617407072,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38260859,-88.43385411,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.31936574493805,"grand_bay_79",2.52525252525256,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52525252525256,1.31936574493805,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38240502,-88.43400135,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.37262957086733,"grand_bay_82",2.5510204081633,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5510204081633,1.37262957086733,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38224094,-88.43413245,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.01602636748262,"grand_bay_84",6.49999999999995,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49999999999995,1.01602636748262,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38222195,-88.43414545,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.854346101541251,"grand_bay_85",7.10659898477159,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10659898477159,0.854346101541251,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38209356,-88.43424657,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.06475710184346,"grand_bay_86",6.06060606060611,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06060606060611,1.06475710184346,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38201179,-88.43430858,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,1.11688765488063,"grand_bay_88",4.95049504950502,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95049504950502,1.11688765488063,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38186664,-88.43443402,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.460722650347537,"grand_bay_89",16.4251207729469,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4251207729469,0.460722650347537,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",30.38172161,-88.43455288,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.218202251435479,"grand_bay_90",36.7875647668394,NA,NA,NA,"Osland et al 2016","Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7875647668394,0.218202251435479,7.5,"0-10cm"
"CCRCN",NA,NA,NA,"marsh",26.3541963,-97.36338298,"direct from dataset",1,"United States",2013,NA,0,0.15,"EA","Core-level",NA,0.942434471353164,"lower_laguna_madre_7",4.41176470588235,NA,NA,NA,"Osland et al 2016","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41176470588235,0.942434471353164,7.5,"0-10cm"
