"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"Adame et al 2020","MFA IC Plot 5","Insulator Creek","Plot 5","Salt marsh",-18.8945943468993,146.260541666667,"direct from dataset and estimated",1,"Australia",2016,NA,0,0.15,"EA","Core-level",4.6,0.57,NA,NA,NA,NA,NA,"Adame et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,0.57,7.5,"0-10cm"
"Adame et al 2021","MFA Arco 10m","Arco","Arco 10m","Salt marsh",30.4578789257437,-116.025855087149,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.56,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,0.52,7.5,"0-10cm"
"Adame et al 2021","MFA Arco 30m","Arco","Arco 30m","Salt marsh",30.4577021252893,-116.025837227569,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",14.5,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,0.52,7.5,"0-10cm"
"Adame et al 2021","MFA Arco 50m","Arco","Arco 50m","Salt marsh",30.4575242986184,-116.025812689808,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.55,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,0.35,7.5,"0-10cm"
"Adame et al 2021","MFA Arco 70m","Arco","Arco 70m","Salt marsh",30.4573420866107,-116.025789898268,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.24,0.5,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,0.5,7.5,"0-10cm"
"Adame et al 2021","MFA Arco 90m","Arco","Arco 90m","Salt marsh",30.4571622874464,-116.025769382576,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",4.01,0.79,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,NA,0.79,7.5,"0-10cm"
"Adame et al 2021","MFA Chapala 10m","Chapala","Chapala 10m","Salt marsh",30.5133740346101,-115.982799611524,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",10.26,0.29,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26,NA,0.29,7.5,"0-10cm"
"Adame et al 2021","MFA Chapala 30m","Chapala","Chapala 30m","Salt marsh",30.5134371431058,-115.982996190987,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.69,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69,NA,0.35,7.5,"0-10cm"
"Adame et al 2021","MFA Chapala 50m","Chapala","Chapala 50m","Salt marsh",30.5135044541256,-115.983188326967,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",8.48,0.36,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,0.36,7.5,"0-10cm"
"Adame et al 2021","MFA Chapala 70m","Chapala","Chapala 70m","Salt marsh",30.5135684380306,-115.983386083945,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",11.95,0.26,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95,NA,0.26,7.5,"0-10cm"
