"Prop.Mean.1","Prop.Mean.2","Prop.sd.1","Prop.sd.2","Prop.2.5%","Prop.97.5%","Sim.Mean","Sim.sd","Sim.Median","Sim.MAD","Sim.2.5%","Sim.97.5%"
-1.05608571933709,-1.05608160324185,2.33472344436188,2.33472344437299,-5.6332034090156,3.5210402025319,-1.05912659816768,2.33583483011844,-1.05681231660286,2.33349357111219,-5.63761421647517,3.52146615744475
-0.611891251748193,-0.611887973318285,2.33580527829091,2.33580527829898,-5.19113066654223,3.96735471990566,-0.610715529238254,2.33522293907819,-0.610632761832918,2.33295439620835,-5.18475470693763,3.96493497272031
-0.166888288967639,-0.166885848184527,2.33851234689807,2.33851234690373,-4.75143562939374,4.41766393302468,-0.165171963854675,2.33493685549819,-0.164304722544228,2.33341363323747,-4.74590669278603,4.41623037794878
0.278923169004569,0.278924771946188,2.34216284826924,2.34216284827313,-4.31278165535751,4.87063119924988,0.279893173380624,2.33465472640619,0.282794101196239,2.33622171550744,-4.29497683428391,4.85313836909403
0.725543122168431,0.725543887639412,2.34624156721735,2.34624156722011,-3.87415868733515,5.32524646261397,0.724099442426794,2.33438850488131,0.725776354505893,2.33379693524775,-3.84496487453278,5.30169186432472
1.17297157052395,1.17297149830627,2.35040026762615,2.35040026762841,-3.4348840244482,5.78082702106073,1.16771515927873,2.33579281749238,1.16812718581597,2.33738454280171,-3.40770299737017,5.75087901566894
1.62120851407112,1.62120760463389,2.35445674529583,2.35445674529823,-2.99460046275361,6.23701567202139,1.6227570837883,2.33473533929657,1.622894083954,2.33427723283343,-2.95530938208068,6.20001882230149
2.07025395280994,2.07025220525462,2.35839341972269,2.35839341972584,-2.5532735378209,6.69377794833014,2.06914961955287,2.33705066072219,2.06887867576817,2.33703160645856,-2.51732812994735,6.63956725751521
2.52010788674042,2.52010530083782,2.36235591852447,2.36235591852902,-2.11118874546911,7.15139934714475,2.52238688665838,2.33465716530371,2.52077428508692,2.33766812519774,-2.04826157600471,7.10020361716567
2.97077031586255,2.97076689305327,2.36665169874716,2.36665169875372,-1.66894883993637,7.61048262604291,2.96719021151444,2.33504838514398,2.96675247133189,2.33619353573864,-1.61313160845688,7.54414374816111
3.42224124017633,3.4222369789692,2.37174835736612,2.3717483573753,-1.22747052729434,8.07194448523274,3.42440591752548,2.33411016793757,3.42646538758204,2.33173600402181,-1.15235428053254,8.00020453312166
3.87452065968177,3.87451556081869,2.37827091263873,2.37827091265114,-0.787979125894146,8.53701024753153,3.87479290458192,2.33322963795826,3.87580352846883,2.3321241222695,-0.695370892741686,8.44893914949708
4.32760857437887,4.32760263934195,2.38699700219119,2.38699700220742,-0.351999159086162,9.00720443777006,4.32690696362968,2.33315332277597,4.32769950836109,2.33387154330555,-0.245928589491105,8.88637215744206
4.78150498426761,4.78149821083399,2.39884867751957,2.39884867754019,0.0786617283445468,9.48433469332343,4.78074683725722,2.33383824484757,4.78121837854513,2.33648026727078,0.204349249255353,9.34895325004828
5.23620988934801,5.23620227900013,2.41487934599669,2.41487934602221,0.501938381650461,9.97046617634979,5.23657072831099,2.33635720118322,5.23850989154576,2.33559394856311,0.651998663518782,9.81357630683801
5.69172328962007,5.69171484013265,2.43625449939896,2.43625449942989,0.915545902166789,10.4678837780985,5.69081971156557,2.33496761627901,5.69155209439954,2.33220840176709,1.12059036847729,10.2645217981484
6.14804518508378,6.14803589794133,2.46422528200744,2.46422528204417,1.31703148070835,10.9790403151743,6.14724153332008,2.33753349845016,6.14741551859641,2.336173878364,1.56026858280385,10.7269402953805
6.60517557573914,6.60516545087467,2.50009473850532,2.50009473854819,1.70384055439114,11.5064903473582,6.60340173414281,2.33391232271663,6.6031490378653,2.33604428499724,2.02886649869665,11.1830359691099
7.06311446158615,7.06310349987399,2.54517772662583,2.54517772667505,2.07339540386324,12.0528115958847,7.06263637803503,2.33433609557255,7.06332162113607,2.33228079864919,2.48234039422337,11.645768664767
7.52186184262482,7.52185004325862,2.60075681617819,2.6007568162339,2.4231816061942,12.620518480323,7.51826795489007,2.33462662885885,7.5154110608705,2.3353178364661,2.94923604645562,12.0997749210434
7.98141771885515,7.98140508169653,2.66803772121127,2.66803772127348,2.7508354131132,13.2119747502799,7.98222638726533,2.33699180021715,7.98264070631998,2.33297071603438,3.40213988903153,12.567305035758
8.44178209027713,8.44176861398146,2.7481085447947,2.74810854486333,3.05422364558578,13.8293135823771,8.44191725962492,2.33650994816257,8.44277515974233,2.33436835716123,3.861876843875,13.0276445590637
8.90295495689076,8.90294064455272,2.841907039726,2.84190703980083,3.33150788526606,14.4743734038394,8.90229636857483,2.3339800989354,8.9038705666252,2.33313346843155,4.32428402890694,13.4775583406415
9.36493631869604,9.36492117018531,2.95019910600651,2.95019910608723,3.5811866159317,15.1486557244389,9.36503248795809,2.33713920621915,9.36431735159807,2.33713233337688,4.7895609453019,13.9490297909464
9.82772617569298,9.82771018642688,3.07357006578538,3.07357006587169,3.80211233500646,15.8533080378473,9.82830887610557,2.33594471330615,9.82844137587553,2.33646766897603,5.25102567855339,14.4121010272994
10.2913245278816,10.2913077025735,3.2124283232255,3.21242832331694,3.99348439353148,16.5891310116156,10.2943657821806,2.33591039174979,10.2934453804306,2.33654860901091,5.72007659368971,14.8812877400455
10.7557313752618,10.755713712298,3.36701934638383,3.36701934647999,4.15482155593621,17.3566058686598,10.7552387419495,2.33725090876815,10.7538271602815,2.33538587959987,6.18055273687476,15.3405372275634
